mode,section,cluster,count,section_fraction
independent,CRC_003,0,822,0.0822
independent,CRC_003,1,878,0.0878
independent,CRC_003,2,772,0.0772
independent,CRC_003,3,603,0.0603
independent,CRC_003,4,931,0.0931
independent,CRC_003,5,559,0.0559
independent,CRC_003,6,558,0.0558
independent,CRC_003,7,559,0.0559
independent,CRC_003,8,773,0.0773
independent,CRC_003,9,789,0.0789
independent,CRC_003,10,779,0.0779
independent,CRC_003,11,630,0.063
independent,CRC_003,12,120,0.012
independent,CRC_003,13,598,0.0598
independent,CRC_003,14,629,0.0629
independent,CRC_006,0,664,0.0664
independent,CRC_006,1,760,0.076
independent,CRC_006,2,700,0.07
independent,CRC_006,3,789,0.0789
independent,CRC_006,4,658,0.0658
independent,CRC_006,5,688,0.0688
independent,CRC_006,6,612,0.0612
independent,CRC_006,7,793,0.0793
independent,CRC_006,8,585,0.0585
independent,CRC_006,9,598,0.0598
independent,CRC_006,10,872,0.0872
independent,CRC_006,11,438,0.0438
independent,CRC_006,12,811,0.0811
independent,CRC_006,13,649,0.0649
independent,CRC_006,14,383,0.0383
