mode,section,cluster,count,section_fraction
joint,CRC_003,0,2683,0.2683
joint,CRC_003,1,429,0.0429
joint,CRC_003,2,38,0.0038
joint,CRC_003,3,2887,0.2887
joint,CRC_003,4,114,0.0114
joint,CRC_003,5,90,0.009
joint,CRC_003,6,977,0.0977
joint,CRC_003,7,457,0.0457
joint,CRC_003,8,119,0.0119
joint,CRC_003,9,2206,0.2206
joint,CRC_006,0,311,0.0311
joint,CRC_006,1,2575,0.2575
joint,CRC_006,2,403,0.0403
joint,CRC_006,3,86,0.0086
joint,CRC_006,4,1418,0.1418
joint,CRC_006,5,2047,0.2047
joint,CRC_006,6,233,0.0233
joint,CRC_006,7,1043,0.1043
joint,CRC_006,8,1711,0.1711
joint,CRC_006,9,173,0.0173
