row_index,selected_spot_index,cluster,x,y
0,0,5,236.0,265.0
1,65,6,170.0,208.0
2,85,7,60.0,350.0
3,92,5,114.0,43.0
4,102,5,298.0,154.0
5,131,6,55.0,250.0
6,145,5,270.0,235.0
7,158,5,330.0,242.0
8,174,5,168.0,33.0
9,203,5,292.0,183.0
10,204,6,427.0,235.0
11,214,6,409.0,365.0
12,249,6,138.0,246.0
13,253,7,221.0,127.0
14,256,7,30.0,409.0
15,273,7,126.0,301.0
16,305,6,104.0,499.0
17,351,6,56.0,388.0
18,379,5,94.0,45.0
19,380,6,475.0,374.0
20,394,5,277.0,230.0
21,435,2,334.0,145.0
22,482,7,424.0,322.0
23,488,6,21.0,351.0
24,505,7,285.0,360.0
25,510,6,86.0,304.0
26,513,2,161.0,327.0
27,534,6,308.0,383.0
28,578,7,184.0,176.0
29,627,7,324.0,496.0
30,636,6,96.0,311.0
31,659,6,359.0,296.0
32,668,5,125.0,388.0
33,689,4,15.0,286.0
34,697,2,335.0,286.0
35,702,6,326.0,251.0
36,710,5,182.0,316.0
37,724,5,81.0,391.0
38,731,5,185.0,260.0
39,742,5,97.0,480.0
40,747,6,9.0,305.0
41,755,7,418.0,193.0
42,774,5,122.0,443.0
43,777,7,302.0,452.0
44,781,7,426.0,374.0
45,785,6,179.0,228.0
46,798,7,397.0,304.0
47,803,2,283.0,374.0
48,807,5,195.0,320.0
49,809,6,30.0,374.0
50,817,5,187.0,336.0
51,871,6,466.0,350.0
52,880,5,113.0,388.0
53,890,7,390.0,376.0
54,895,4,215.0,282.0
55,898,5,468.0,212.0
56,905,5,323.0,253.0
57,949,4,302.0,295.0
58,951,7,216.0,189.0
59,961,6,400.0,476.0
60,999,5,162.0,318.0
61,1032,5,225.0,325.0
62,1058,5,97.0,481.0
63,1063,5,236.0,244.0
64,1070,5,104.0,427.0
65,1075,5,287.0,149.0
66,1079,6,144.0,263.0
67,1129,6,403.0,328.0
68,1137,4,355.0,214.0
69,1158,6,456.0,428.0
70,1172,6,390.0,119.0
71,1173,6,270.0,429.0
72,1200,7,156.0,143.0
73,1207,7,129.0,155.0
74,1223,6,55.0,448.0
75,1228,5,172.0,351.0
76,1231,5,132.0,402.0
77,1248,5,350.0,128.0
78,1277,7,193.0,201.0
79,1288,7,68.0,318.0
80,1296,2,251.0,314.0
81,1300,7,26.0,381.0
82,1340,7,366.0,301.0
83,1359,7,354.0,231.0
84,1391,6,492.0,430.0
85,1411,5,185.0,251.0
86,1418,6,111.0,328.0
87,1433,6,414.0,212.0
88,1444,6,333.0,236.0
89,1480,0,119.0,99.0
90,1502,5,302.0,176.0
91,1525,5,106.0,44.0
92,1546,7,136.0,166.0
93,1547,2,146.0,299.0
94,1612,5,139.0,107.0
95,1615,7,172.0,181.0
96,1641,0,394.0,68.0
97,1645,7,429.0,310.0
98,1676,7,260.0,387.0
99,1684,7,371.0,378.0
100,1765,5,306.0,199.0
101,1772,5,171.0,262.0
102,1789,6,69.0,519.0
103,1794,4,373.0,155.0
104,1828,7,448.0,442.0
105,1838,5,323.0,302.0
106,1893,5,301.0,137.0
107,1922,5,128.0,49.0
108,1926,2,99.0,47.0
109,1952,7,50.0,334.0
110,1956,6,366.0,347.0
111,1978,2,414.0,275.0
112,1982,5,199.0,277.0
113,1989,5,311.0,215.0
114,1998,6,468.0,414.0
115,2000,7,460.0,330.0
116,2013,6,118.0,388.0
117,2035,6,143.0,182.0
118,2052,5,325.0,239.0
119,2076,6,442.0,231.0
120,2127,5,327.0,158.0
121,2199,0,234.0,340.0
122,2224,6,58.0,542.0
123,2235,5,345.0,95.0
124,2236,5,304.0,210.0
125,2251,6,317.0,391.0
126,2288,6,490.0,300.0
127,2296,2,144.0,304.0
128,2301,6,137.0,468.0
129,2304,6,155.0,481.0
130,2311,2,447.0,320.0
131,2355,6,151.0,124.0
132,2406,7,31.0,333.0
133,2410,6,405.0,459.0
134,2419,4,373.0,391.0
135,2426,6,490.0,316.0
136,2440,2,47.0,406.0
137,2442,7,305.0,443.0
138,2468,7,159.0,236.0
139,2472,7,435.0,269.0
140,2493,4,230.0,308.0
141,2519,7,309.0,287.0
142,2522,5,125.0,98.0
143,2546,4,298.0,120.0
144,2554,5,348.0,254.0
145,2576,5,192.0,268.0
146,2578,5,359.0,106.0
147,2603,6,60.0,289.0
148,2604,6,487.0,248.0
149,2625,7,402.0,266.0
150,2631,6,86.0,314.0
151,2632,7,439.0,301.0
152,2636,7,337.0,467.0
153,2657,6,335.0,371.0
154,2703,6,187.0,87.0
155,2722,1,301.0,231.0
156,2729,2,288.0,314.0
157,2776,5,132.0,91.0
158,2816,6,398.0,244.0
159,2817,5,97.0,344.0
160,2828,5,278.0,160.0
161,2873,5,147.0,94.0
162,2900,6,427.0,432.0
163,2913,0,41.0,475.0
164,2957,6,188.0,199.0
165,2964,2,375.0,68.0
166,2979,4,60.0,411.0
167,2989,7,407.0,266.0
168,2994,7,292.0,320.0
169,3017,5,316.0,160.0
170,3019,7,61.0,492.0
171,3049,5,81.0,437.0
172,3058,5,297.0,183.0
173,3065,5,342.0,360.0
174,3111,7,382.0,212.0
175,3134,6,119.0,464.0
176,3167,5,88.0,441.0
177,3188,7,160.0,462.0
178,3196,6,116.0,340.0
179,3198,7,335.0,364.0
180,3212,6,188.0,368.0
181,3218,6,95.0,380.0
182,3241,6,295.0,401.0
183,3245,5,375.0,415.0
184,3252,5,96.0,458.0
185,3257,6,305.0,365.0
186,3279,5,254.0,152.0
187,3297,6,78.0,453.0
188,3319,5,323.0,207.0
189,3372,5,255.0,296.0
190,3381,6,475.0,338.0
191,3387,2,98.0,359.0
192,3430,6,218.0,128.0
193,3437,7,35.0,235.0
194,3498,6,60.0,477.0
195,3505,5,340.0,142.0
196,3514,2,117.0,27.0
197,3529,5,340.0,259.0
198,3534,5,129.0,82.0
199,3541,2,182.0,20.0
200,3587,5,303.0,234.0
201,3612,2,398.0,392.0
202,3622,6,130.0,216.0
203,3641,7,392.0,360.0
204,3668,5,326.0,87.0
205,3696,7,103.0,347.0
206,3732,6,473.0,346.0
207,3759,7,56.0,479.0
208,3772,6,409.0,433.0
209,3785,5,97.0,442.0
210,3787,7,282.0,116.0
211,3807,2,265.0,295.0
212,3808,5,200.0,230.0
213,3812,6,361.0,504.0
214,3838,7,365.0,361.0
215,3847,7,85.0,312.0
216,3861,7,421.0,262.0
217,3888,5,150.0,138.0
218,3896,5,124.0,445.0
219,3898,5,334.0,191.0
220,3920,6,425.0,384.0
221,3931,5,317.0,186.0
222,3936,5,281.0,195.0
223,3965,7,86.0,286.0
224,3981,6,187.0,64.0
225,3986,6,57.0,535.0
226,4035,6,135.0,222.0
227,4049,7,334.0,376.0
228,4056,7,395.0,160.0
229,4071,6,322.0,386.0
230,4083,6,287.0,359.0
231,4095,7,96.0,329.0
232,4098,5,301.0,278.0
233,4122,5,282.0,147.0
234,4123,6,387.0,464.0
235,4128,5,187.0,256.0
236,4145,5,241.0,253.0
237,4153,6,90.0,394.0
238,4163,6,425.0,339.0
239,4182,7,111.0,338.0
240,4191,6,403.0,323.0
241,4193,5,333.0,223.0
242,4228,5,211.0,252.0
243,4267,5,299.0,287.0
244,4294,5,321.0,110.0
245,4307,2,324.0,158.0
246,4310,4,384.0,294.0
247,4315,5,281.0,292.0
248,4319,7,371.0,299.0
249,4331,6,414.0,211.0
250,4341,5,349.0,290.0
251,4355,6,415.0,316.0
252,4420,7,141.0,433.0
253,4425,5,125.0,81.0
254,4474,7,407.0,173.0
255,4509,6,429.0,425.0
256,4520,7,28.0,451.0
257,4527,6,57.0,395.0
258,4532,6,413.0,349.0
259,4545,6,40.0,309.0
260,4597,7,54.0,305.0
261,4609,5,199.0,303.0
262,4658,7,366.0,420.0
263,4696,6,354.0,258.0
264,4726,6,430.0,462.0
265,4746,5,291.0,251.0
266,4783,7,464.0,329.0
267,4789,7,366.0,357.0
268,4790,6,44.0,313.0
269,4797,7,443.0,259.0
270,4803,5,167.0,338.0
271,4808,5,175.0,299.0
272,4819,7,469.0,427.0
273,4821,7,463.0,277.0
274,4856,7,72.0,391.0
275,4870,0,216.0,366.0
276,4877,0,268.0,457.0
277,4884,5,308.0,191.0
278,4899,5,333.0,78.0
279,4907,5,100.0,428.0
280,4913,5,187.0,293.0
281,4930,5,135.0,19.0
282,4935,6,187.0,225.0
283,4939,7,25.0,331.0
284,4958,6,355.0,414.0
285,4995,7,36.0,399.0
286,5030,5,213.0,248.0
287,5037,2,86.0,279.0
288,5084,5,208.0,197.0
289,5086,5,148.0,403.0
290,5120,6,293.0,459.0
291,5135,6,264.0,419.0
292,5141,7,358.0,227.0
293,5153,6,126.0,154.0
294,5169,6,288.0,319.0
295,5172,7,330.0,297.0
296,5198,5,150.0,388.0
297,5211,7,351.0,471.0
298,5227,7,426.0,227.0
299,5244,6,471.0,434.0
300,5268,7,151.0,255.0
301,5290,7,313.0,390.0
302,5293,7,400.0,294.0
303,5295,7,192.0,63.0
304,5296,7,370.0,258.0
305,5316,5,327.0,199.0
306,5358,6,476.0,355.0
307,5368,6,390.0,243.0
308,5388,7,112.0,351.0
309,5400,7,374.0,203.0
310,5414,5,161.0,364.0
311,5418,2,145.0,95.0
312,5443,5,100.0,406.0
313,5453,2,82.0,498.0
314,5463,6,388.0,224.0
315,5479,6,382.0,473.0
316,5487,7,82.0,368.0
317,5530,5,178.0,268.0
318,5536,0,317.0,267.0
319,5592,6,446.0,318.0
320,5640,5,253.0,193.0
321,5684,5,361.0,102.0
322,5687,7,267.0,418.0
323,5693,6,490.0,432.0
324,5706,6,134.0,331.0
325,5712,5,312.0,120.0
326,5722,6,227.0,142.0
327,5725,7,500.0,270.0
328,5748,6,404.0,355.0
329,5763,5,255.0,234.0
330,5781,5,309.0,160.0
331,5788,6,197.0,221.0
332,5792,5,48.0,258.0
333,5815,7,387.0,331.0
334,5820,6,460.0,309.0
335,5828,4,174.0,200.0
336,5839,5,179.0,317.0
337,5870,2,372.0,202.0
338,5879,6,92.0,377.0
339,5891,2,300.0,182.0
340,5908,6,357.0,272.0
341,5922,6,340.0,450.0
342,5946,7,179.0,425.0
343,5961,6,38.0,426.0
344,5982,7,89.0,350.0
345,6007,6,189.0,143.0
346,6014,6,416.0,381.0
347,6040,6,164.0,450.0
348,6062,5,141.0,37.0
349,6075,5,260.0,260.0
350,6100,0,265.0,447.0
351,6116,7,373.0,343.0
352,6129,7,370.0,162.0
353,6135,6,327.0,340.0
354,6176,6,266.0,415.0
355,6179,5,314.0,60.0
356,6182,2,296.0,181.0
357,6183,6,354.0,488.0
358,6191,7,79.0,291.0
359,6208,5,118.0,365.0
360,6232,7,351.0,444.0
361,6270,6,18.0,315.0
362,6294,6,259.0,389.0
363,6300,7,94.0,321.0
364,6307,7,305.0,356.0
365,6318,5,300.0,258.0
366,6334,7,361.0,488.0
367,6356,4,354.0,82.0
368,6371,7,403.0,365.0
369,6390,5,183.0,288.0
370,6410,7,350.0,243.0
371,6417,7,348.0,234.0
372,6426,7,424.0,369.0
373,6430,4,384.0,493.0
374,6432,2,133.0,288.0
375,6444,6,39.0,567.0
376,6462,4,361.0,370.0
377,6517,5,104.0,474.0
378,6557,6,441.0,187.0
379,6573,6,78.0,258.0
380,6599,6,390.0,353.0
381,6605,7,433.0,440.0
382,6611,5,357.0,109.0
383,6635,6,338.0,434.0
384,6641,6,118.0,329.0
385,6647,4,387.0,144.0
386,6683,6,388.0,98.0
387,6757,7,21.0,325.0
388,6770,5,226.0,205.0
389,6800,5,162.0,85.0
390,6805,5,245.0,102.0
391,6810,6,289.0,438.0
392,6865,6,386.0,156.0
393,6868,6,375.0,188.0
394,6873,7,298.0,438.0
395,6876,4,31.0,378.0
396,6885,5,276.0,172.0
397,6909,6,272.0,83.0
398,6910,6,310.0,406.0
399,6941,2,366.0,89.0
400,6980,7,115.0,348.0
401,7003,7,350.0,295.0
402,7063,7,72.0,516.0
403,7072,6,141.0,440.0
404,7096,5,179.0,252.0
405,7123,6,57.0,300.0
406,7151,6,457.0,199.0
407,7201,7,206.0,153.0
408,7204,7,405.0,434.0
409,7217,6,74.0,480.0
410,7223,7,192.0,205.0
411,7226,7,63.0,377.0
412,7234,5,316.0,283.0
413,7248,7,162.0,176.0
414,7255,5,328.0,177.0
415,7276,6,62.0,274.0
416,7281,6,73.0,285.0
417,7306,5,304.0,75.0
418,7308,5,249.0,238.0
419,7333,5,98.0,48.0
420,7362,6,178.0,222.0
421,7374,5,177.0,343.0
422,7376,6,321.0,444.0
423,7395,5,277.0,244.0
424,7429,6,60.0,466.0
425,7435,7,447.0,420.0
426,7436,6,42.0,356.0
427,7445,2,441.0,429.0
428,7450,6,172.0,420.0
429,7451,5,351.0,128.0
430,7465,5,325.0,186.0
431,7502,6,355.0,500.0
432,7515,6,394.0,179.0
433,7528,6,357.0,486.0
434,7545,4,112.0,358.0
435,7562,5,104.0,57.0
436,7599,5,362.0,151.0
