analysis_dir,mode,k,scope,n_spots,n_clusters_observed,asw_sampled,asw_scaled_0_1,asw_sample_size,dbi_full,calinski_harabasz_full
clustering_analysis_k20_25,independent,20,CRC_003,166279,20,0.0212186593562364,0.5106093296781182,10000,4.094330577078635,2113.510885779144
clustering_analysis_k20_25,independent,20,CRC_006,446095,20,0.0357584953308105,0.5178792476654053,10000,3.975565715816264,6681.565852268611
clustering_analysis_k20_25,independent,25,CRC_003,166279,25,0.0194864720106124,0.5097432360053062,10000,4.035196919066503,1801.7194861074047
clustering_analysis_k20_25,independent,25,CRC_006,446095,25,0.0293647982180118,0.5146823991090059,10000,3.968876552164149,5513.447600527319
clustering_analysis_k20_25,joint,20,CRC_003,166279,20,0.021977923810482,0.510988961905241,10000,4.2041497289352,1910.8959939042616
clustering_analysis_k20_25,joint,20,CRC_006,446095,20,0.0347657687962055,0.5173828843981028,10000,3.989620137920252,6527.282396651352
clustering_analysis_k20_25,joint,20,combined,612374,20,0.0300680268555879,0.515034013427794,10000,4.041832849093669,8450.423179087426
clustering_analysis_k20_25,joint,25,CRC_003,166279,25,0.0233330056071281,0.5116665028035641,10000,4.106512882091351,1661.7921582453343
clustering_analysis_k20_25,joint,25,CRC_006,446095,25,0.0330690331757068,0.5165345165878534,10000,3.9265916345595007,5545.64816809014
clustering_analysis_k20_25,joint,25,combined,612374,25,0.0285054352134466,0.5142527176067233,10000,3.9672304612716873,7271.523069426329
