mode,section,cluster,count,section_fraction
independent,CRC_003,0,8448,0.05080617516343014
independent,CRC_003,1,8145,0.04898393663661677
independent,CRC_003,2,9823,0.05907540940226968
independent,CRC_003,3,9495,0.057102821162022865
independent,CRC_003,4,7828,0.04707750227028067
independent,CRC_003,5,8393,0.050475405793876556
independent,CRC_003,6,8417,0.05061974151877267
independent,CRC_003,7,10604,0.06377233444993054
independent,CRC_003,8,8513,0.051197084418357096
independent,CRC_003,9,12080,0.0726489815310412
independent,CRC_003,10,7655,0.046037082253321225
independent,CRC_003,11,7698,0.046295683760426753
independent,CRC_003,12,10769,0.06476464255859128
independent,CRC_003,13,7505,0.045134983972720547
independent,CRC_003,14,9596,0.05771023400429399
independent,CRC_003,15,5807,0.03492323143632088
independent,CRC_003,16,2084,0.012533152111812076
independent,CRC_003,17,8592,0.05167218951280679
independent,CRC_003,18,8070,0.04853288749631643
independent,CRC_003,19,6757,0.040636520546791836
independent,CRC_006,0,23509,0.052699537094116726
independent,CRC_006,1,24161,0.054161109180779876
independent,CRC_006,2,23384,0.05241932772167363
independent,CRC_006,3,18776,0.04208968941593159
independent,CRC_006,4,23599,0.05290128784227575
independent,CRC_006,5,23640,0.05299319651643708
independent,CRC_006,6,20073,0.04499714186440108
independent,CRC_006,7,18789,0.042118831190665666
independent,CRC_006,8,25638,0.05747206312556742
independent,CRC_006,9,19935,0.04468779071722391
independent,CRC_006,10,23197,0.05200013450049877
independent,CRC_006,11,23097,0.051775967002544304
independent,CRC_006,12,23252,0.052123426624373734
independent,CRC_006,13,29441,0.06599715307277598
independent,CRC_006,14,16240,0.036404801667806186
independent,CRC_006,15,25400,0.05693854448043578
independent,CRC_006,16,16381,0.03672087783992199
independent,CRC_006,17,21991,0.04929667447516785
independent,CRC_006,18,20092,0.04503973368901243
independent,CRC_006,19,25500,0.057162711978390256
