mode,section,cluster,count,section_fraction
independent,CRC_003,0,18675,0.11231123593478431
independent,CRC_003,1,34219,0.20579267375916382
independent,CRC_003,2,33153,0.19938176197836166
independent,CRC_003,3,23721,0.1426578220941911
independent,CRC_003,4,28237,0.1698169943288088
independent,CRC_003,5,28274,0.1700395119046903
independent,CRC_006,0,87335,0.19577668433853776
independent,CRC_006,1,96831,0.21706362994429437
independent,CRC_006,2,74954,0.16802250641679464
independent,CRC_006,3,113171,0.25369259911005504
independent,CRC_006,4,41792,0.09368408074513276
independent,CRC_006,5,32012,0.07176049944518545
