mode,section,cluster,count,section_fraction
joint,CRC_003,0,13391,0.08053332050349112
joint,CRC_003,1,4594,0.027628263340530073
joint,CRC_003,2,62082,0.37336043637500826
joint,CRC_003,3,8655,0.05205107079065907
joint,CRC_003,4,2574,0.01548000649510762
joint,CRC_003,5,28555,0.17172944268368223
joint,CRC_003,6,8594,0.051684217489881466
joint,CRC_003,7,22049,0.1326024332597622
joint,CRC_003,8,3987,0.023977772298366
joint,CRC_003,9,11798,0.07095303676351193
joint,CRC_006,0,49362,0.11065356034028626
joint,CRC_006,1,51691,0.1158744213676459
joint,CRC_006,2,44901,0.10065344825653728
joint,CRC_006,3,32120,0.07200260034297627
joint,CRC_006,4,48568,0.10887367040652776
joint,CRC_006,5,48268,0.10820116791266435
joint,CRC_006,6,30821,0.06909066454454768
joint,CRC_006,7,43254,0.09696140956522714
joint,CRC_006,8,47043,0.10545511606272207
joint,CRC_006,9,50067,0.11223394120086529
