mode,k,scope,n_obs,metric_sample_size,n_clusters_observed,silhouette,calinski_harabasz,davies_bouldin,section_ARI_diagnostic,section_NMI_diagnostic
independent,5,CRC_003,166279,10000,5,0.027158960429854374,312.2454281568191,4.8421503226837395,,
independent,5,CRC_006,446095,10000,5,0.04379594641650235,355.86364709764655,3.812137529988044,,
joint,5,combined,612374,10000,5,0.04022222583163043,323.1473781441645,4.1382256893040585,0.030548950487609677,0.06139956926658906
independent,6,CRC_003,166279,10000,6,0.020115022117422002,263.8404616487989,4.957362965814209,,
independent,6,CRC_006,446095,10000,6,0.03732576100644125,307.9808532965988,3.7535298979850045,,
joint,6,combined,612374,10000,6,0.03673851504062917,288.541542145031,4.224714381589764,0.015590641882163279,0.04450651118884566
independent,8,CRC_003,166279,10000,8,0.026638876567283785,225.94627558133737,4.606092817893071,,
independent,8,CRC_006,446095,10000,8,0.041773177580112335,264.9547790289122,3.7199101226249134,,
joint,8,combined,612374,10000,8,0.03782649144413168,247.0358323188379,4.084533384470324,0.028293847237305134,0.05609462023973365
independent,10,CRC_003,166279,10000,10,0.02031068531106325,190.35767984172267,4.543139785735213,,
independent,10,CRC_006,446095,10000,10,0.03500968478299577,223.6488735422564,4.108112698855182,,
joint,10,combined,612374,10000,10,0.03460362243723553,211.60925702829044,4.150180307103037,0.011770748416411996,0.0555174278858992
independent,15,CRC_003,166279,10000,15,0.020542480293985883,149.1008939900387,4.2501582733802845,,
independent,15,CRC_006,446095,10000,15,0.03379939415761585,173.3853855300494,4.007563220371778,,
joint,15,combined,612374,10000,15,0.03266266553230065,163.7464121934831,3.9234691436529188,0.008235597314136438,0.04434365873672591
