section,neighbor_same_cluster_fraction,mode,k
CRC_003,0.512143245188308,independent,5
CRC_006,0.6766813496377827,independent,5
CRC_003,0.6529427448244617,joint,5
CRC_006,0.6299846445263901,joint,5
CRC_003,0.4145382158901605,independent,6
CRC_006,0.6413768367724364,independent,6
CRC_003,0.5405262640902739,joint,6
CRC_006,0.5701737671721644,joint,6
CRC_003,0.4174700353021127,independent,8
CRC_006,0.5403770497315594,independent,8
CRC_003,0.4590427333978835,joint,8
CRC_006,0.5256025435538768,joint,8
CRC_003,0.3323470392132099,independent,10
CRC_006,0.4556125937300351,independent,10
CRC_003,0.4683253247052644,joint,10
CRC_006,0.4531953208770927,joint,10
CRC_003,0.2396474198986843,independent,15
CRC_006,0.4106954049399044,independent,15
CRC_003,0.3274366175724735,joint,15
CRC_006,0.3779460279387425,joint,15
