analysis_dir,mode,k,scope,n_spots,n_clusters_observed,asw_sampled,asw_scaled_0_1,asw_sample_size,dbi_full,calinski_harabasz_full
clustering_analysis_k20_25,independent,20,CRC_003,166279,20,0.022091830149292946,0.5110459150746465,10000,4.110566518911127,2122.2465773256504
clustering_analysis_k20_25,independent,20,CRC_006,446095,20,0.03188019245862961,0.5159400962293148,10000,3.994197175534276,6497.827506291022
clustering_analysis_k20_25,independent,25,CRC_003,166279,25,0.020635448396205902,0.510317724198103,10000,3.9870408850572177,1839.3517730486622
clustering_analysis_k20_25,independent,25,CRC_006,446095,25,0.03434548154473305,0.5171727407723665,10000,3.928510649135948,5611.927027342527
clustering_analysis_k20_25,joint,20,CRC_003,166279,20,0.02249739319086075,0.5112486965954304,10000,4.127063830528353,1935.5019164040077
clustering_analysis_k20_25,joint,20,CRC_006,446095,20,0.03235454112291336,0.5161772705614567,10000,3.93187036764036,6440.227525055495
clustering_analysis_k20_25,joint,20,combined,612374,20,0.028820669278502464,0.5144103346392512,10000,3.9772975301524696,8450.421516569106
clustering_analysis_k20_25,joint,25,CRC_003,166279,25,0.02140379324555397,0.510701896622777,10000,4.025699656816495,1623.16853651307
clustering_analysis_k20_25,joint,25,CRC_006,446095,25,0.03337830677628517,0.5166891533881426,10000,3.9342909719539607,5503.704806292747
clustering_analysis_k20_25,joint,25,combined,612374,25,0.027071869000792503,0.5135359345003963,10000,3.958335067467903,7143.111318821528
