mode,section,cluster,count,section_fraction
independent,CRC_003,0,7094,0.042663234683874694
independent,CRC_003,1,6837,0.041117639629778865
independent,CRC_003,2,8842,0.05317568664714125
independent,CRC_003,3,7263,0.04367959874668479
independent,CRC_003,4,5638,0.033906867373510785
independent,CRC_003,5,7949,0.047805194883298555
independent,CRC_003,6,5935,0.035693021969100125
independent,CRC_003,7,8043,0.04837050980580831
independent,CRC_003,8,6566,0.03948784873616031
independent,CRC_003,9,9506,0.05716897503593358
independent,CRC_003,10,6273,0.03772575009472032
independent,CRC_003,11,2066,0.012424900318139994
independent,CRC_003,12,5775,0.034730783803126074
independent,CRC_003,13,6629,0.03986673001401259
independent,CRC_003,14,7892,0.047462397536670295
independent,CRC_003,15,6671,0.04011931753258078
independent,CRC_003,16,5735,0.034490224261632556
independent,CRC_003,17,2884,0.017344342941682352
independent,CRC_003,18,5849,0.035175818954889075
independent,CRC_003,19,8815,0.05301330895663313
independent,CRC_003,20,5367,0.03227707647989223
independent,CRC_003,21,8059,0.048466733622405715
independent,CRC_003,22,7868,0.047318061811774184
independent,CRC_003,23,5114,0.030755537379945755
independent,CRC_003,24,7609,0.045760438780603686
independent,CRC_006,0,21365,0.047893385937972856
independent,CRC_006,1,16453,0.03688227843844921
independent,CRC_006,2,17614,0.039484863089700624
independent,CRC_006,3,18261,0.04093522680146606
independent,CRC_006,4,13212,0.029617009829744786
independent,CRC_006,5,16743,0.037532364182517174
independent,CRC_006,6,15520,0.03479079568253399
independent,CRC_006,7,14348,0.032163552606507585
independent,CRC_006,8,16061,0.03600354184646768
independent,CRC_006,9,19799,0.04438292292000583
independent,CRC_006,10,16956,0.0380098409531602
independent,CRC_006,11,19115,0.042849617233997245
independent,CRC_006,12,20376,0.04567636938320313
independent,CRC_006,13,19265,0.04318586848092895
independent,CRC_006,14,16332,0.036611035765924296
independent,CRC_006,15,21681,0.04860175523150898
independent,CRC_006,16,20260,0.045416335085575944
independent,CRC_006,17,16986,0.03807709120254654
independent,CRC_006,18,12907,0.028933298960983646
independent,CRC_006,19,20676,0.046348871877066544
independent,CRC_006,20,19676,0.04410719689752183
independent,CRC_006,21,18235,0.040876943251997894
independent,CRC_006,22,17360,0.038915477644896265
independent,CRC_006,23,20050,0.04494558333987155
independent,CRC_006,24,16844,0.03775877335545119
