mode,section,cluster,count,section_fraction
joint,CRC_003,0,2192,0.013182662873844562
joint,CRC_003,1,10960,0.0659133143692228
joint,CRC_003,2,10926,0.06570883875895332
joint,CRC_003,3,4478,0.02693064067019888
joint,CRC_003,4,7865,0.047300019846162174
joint,CRC_003,5,820,0.004931470600617036
joint,CRC_003,6,6022,0.03621623897184852
joint,CRC_003,7,7552,0.04541764143397543
joint,CRC_003,8,4429,0.02663595523186933
joint,CRC_003,9,659,0.003963218446105642
joint,CRC_003,10,7674,0.04615134803553064
joint,CRC_003,11,20254,0.12180732383524077
joint,CRC_003,12,14075,0.0846468886630302
joint,CRC_003,13,7478,0.044972606282212425
joint,CRC_003,14,1906,0.011462662152165938
joint,CRC_003,15,5625,0.033828685522525395
joint,CRC_003,16,7878,0.047378201697147564
joint,CRC_003,17,8613,0.051798483272090884
joint,CRC_003,18,27933,0.1679887418134581
joint,CRC_003,19,8940,0.05376505752380036
joint,CRC_006,0,33938,0.07607796545578857
joint,CRC_006,1,19631,0.04400632152344232
joint,CRC_006,2,18742,0.042013472466627066
joint,CRC_006,3,24383,0.0546587610262388
joint,CRC_006,4,25536,0.057243412277653866
joint,CRC_006,5,36807,0.08250933097210235
joint,CRC_006,6,20842,0.046720989923670964
joint,CRC_006,7,22943,0.05143074905569441
joint,CRC_006,8,21416,0.048007711361929634
joint,CRC_006,9,16501,0.036989878837467356
joint,CRC_006,10,21854,0.04898956500297022
joint,CRC_006,11,7231,0.01620955177708784
joint,CRC_006,12,17419,0.039047736468689406
joint,CRC_006,13,31599,0.07083468767863348
joint,CRC_006,14,33618,0.07536062946233425
joint,CRC_006,15,23665,0.0530492383909257
joint,CRC_006,16,15637,0.035053071655140725
joint,CRC_006,17,21547,0.048301370784249995
joint,CRC_006,18,6429,0.014411728443492977
joint,CRC_006,19,26357,0.059083827435860076
