mode,section,cluster,count,section_fraction
independent,CRC_003,0,13477,0.08105052351770217
independent,CRC_003,1,13835,0.08320353141406912
independent,CRC_003,2,23156,0.1392599185705952
independent,CRC_003,3,9101,0.054733309678311755
independent,CRC_003,4,21877,0.1315680272313401
independent,CRC_003,5,16300,0.09802801315860692
independent,CRC_003,6,15265,0.09180353502246225
independent,CRC_003,7,19449,0.1169660630626838
independent,CRC_003,8,11398,0.06854744134857679
independent,CRC_003,9,22421,0.13483963699565188
independent,CRC_006,0,47066,0.10550667458725159
independent,CRC_006,1,50258,0.11266210112195833
independent,CRC_006,2,50987,0.11429628218204642
independent,CRC_006,3,23751,0.05324202243916654
independent,CRC_006,4,67521,0.15136013629383877
independent,CRC_006,5,32548,0.07296203723422141
independent,CRC_006,6,44271,0.09924119301942412
independent,CRC_006,7,41921,0.09397325681749404
independent,CRC_006,8,50432,0.11305215256839911
independent,CRC_006,9,37340,0.0837041437361997
