mode,section,cluster,count,section_fraction
joint,CRC_003,0,3473,0.020886582190174346
joint,CRC_003,1,52653,0.3166545384564497
joint,CRC_003,2,14860,0.08936786966484042
joint,CRC_003,3,17413,0.10472158240066394
joint,CRC_003,4,24009,0.1443898507929444
joint,CRC_003,5,3321,0.01997245593249899
joint,CRC_003,6,23543,0.14158733213454494
joint,CRC_003,7,27007,0.16241978842788327
joint,CRC_006,0,67448,0.151196494020332
joint,CRC_006,1,30034,0.067326466335646
joint,CRC_006,2,57207,0.12823950055481456
joint,CRC_006,3,48335,0.10835136013629384
joint,CRC_006,4,60490,0.13559891951265987
joint,CRC_006,5,63606,0.1425839787489212
joint,CRC_006,6,54508,0.12218921978502337
joint,CRC_006,7,64467,0.1445140609063092
