mode,k,scope,n_spots,n_clusters_observed,asw_sampled,asw_scaled_0_1,dbi_full,calinski_harabasz_full
joint,20,combined,612374,20,0.02791646495461464,0.5139582324773073,4.104090448338746,8127.925961548902
joint,20,CRC_003,166279,20,0.01927301287651062,0.5096365064382553,4.259547889429443,1805.388131551618
joint,20,CRC_006,446095,20,0.032401636242866516,0.5162008181214333,4.019455195225986,6311.802434981696
independent,20,combined,612374,20,0.003614358836784959,0.5018071794183925,5.413395738523,4966.086647381682
independent,20,CRC_003,166279,20,0.023741260170936584,0.5118706300854683,4.042324726268559,2067.811266607466
independent,20,CRC_006,446095,20,0.03515016660094261,0.5175750833004713,3.950350300475398,6360.391633450109
joint,25,combined,612374,25,0.026603832840919495,0.5133019164204597,4.010826494391241,6963.468495460972
joint,25,CRC_003,166279,25,0.018901703879237175,0.5094508519396186,4.154428596845335,1565.2616614017845
joint,25,CRC_006,446095,25,0.031138518825173378,0.5155692594125867,3.9876100796701848,5376.151021925511
independent,25,combined,612374,25,0.0012377846287563443,0.5006188923143782,5.311696415295116,3899.038071300197
independent,25,CRC_003,166279,25,0.022717177867889404,0.5113585889339447,4.009442283819967,1775.3280190547252
independent,25,CRC_006,446095,25,0.034092146903276443,0.5170460734516382,3.965168731674008,5323.022245481151
