mode,k,scope,n_spots,n_clusters_observed,asw_sampled,asw_scaled_0_1,dbi_full,calinski_harabasz_full
joint,8,combined,612374,8,0.03581827133893967,0.5179091356694698,3.9612410742130537,14694.88215906729
joint,8,CRC_003,166279,8,0.034104522317647934,0.517052261158824,4.199348355508553,3485.4966693168008
joint,8,CRC_006,446095,8,0.03576260805130005,0.51788130402565,3.896356863266806,11133.08004861718
independent,8,combined,612374,8,0.010650943964719772,0.5053254719823599,5.569567605645091,8958.668224257479
independent,8,CRC_003,166279,8,0.028967782855033875,0.5144838914275169,4.262616395131058,3942.845061436823
independent,8,CRC_006,446095,8,0.0388726107776165,0.5194363053888083,4.018261970179621,11842.995650869118
joint,10,combined,612374,10,0.035669419914484024,0.517834709957242,3.915495031929544,13058.623406634102
joint,10,CRC_003,166279,10,0.02752026356756687,0.5137601317837834,4.332937238921458,2870.9889556863495
joint,10,CRC_006,446095,10,0.03773060813546181,0.5188653040677309,3.870608761125254,10096.386062074078
independent,10,combined,612374,10,0.008930923417210579,0.5044654617086053,5.307507378296043,7695.457926984478
independent,10,CRC_003,166279,10,0.022546732798218727,0.5112733663991094,4.466265191739368,3219.728643074425
independent,10,CRC_006,446095,10,0.04039110243320465,0.5201955512166023,3.8112763274867447,10443.546871740285
joint,15,combined,612374,15,0.03412293642759323,0.5170614682137966,3.9844379984836773,9926.85000891519
joint,15,CRC_003,166279,15,0.023856453597545624,0.5119282267987728,4.164639128905501,2243.9436650205716
joint,15,CRC_006,446095,15,0.03726356104016304,0.5186317805200815,3.907122567507998,7761.801911082368
independent,15,combined,612374,15,0.0063171470537781715,0.5031585735268891,5.709939733646231,5555.91472617726
independent,15,CRC_003,166279,15,0.023547446355223656,0.5117737231776118,4.2574952202871215,2451.483762764151
independent,15,CRC_006,446095,15,0.03691397234797478,0.5184569861739874,3.9201803066414107,7794.898819083618
