mode,section,cluster,count,section_fraction
independent,CRC_003,0,9163,0.0551061769676267
independent,CRC_003,1,17392,0.10459528864137985
independent,CRC_003,2,26078,0.1568327930766964
independent,CRC_003,3,29371,0.17663685733014992
independent,CRC_003,4,27141,0.16322566289188653
independent,CRC_003,5,17254,0.10376535822322723
independent,CRC_003,6,24504,0.14736677511892662
independent,CRC_003,7,15376,0.09247108775010675
independent,CRC_006,0,80776,0.18107353814770397
independent,CRC_006,1,84978,0.19049305641175085
independent,CRC_006,2,73348,0.16442237639964583
independent,CRC_006,3,19905,0.04462054046783757
independent,CRC_006,4,37569,0.08421748730651543
independent,CRC_006,5,65639,0.1471413039823356
independent,CRC_006,6,54319,0.12176554321388942
independent,CRC_006,7,29561,0.06626615407032134
