mode,section,cluster,count,section_fraction
joint,CRC_003,0,2829,0.017013573572128772
joint,CRC_003,1,25606,0.15399419048707294
joint,CRC_003,2,14806,0.08904311428382418
joint,CRC_003,3,9680,0.05821540904143037
joint,CRC_003,4,6304,0.03791218373937779
joint,CRC_003,5,11743,0.07062226739395834
joint,CRC_003,6,12554,0.07549961209773934
joint,CRC_003,7,60786,0.3655663072306184
joint,CRC_003,8,7816,0.04700533440783262
joint,CRC_003,9,14155,0.08512800774601724
joint,CRC_006,0,65677,0.1472264876315583
joint,CRC_006,1,59166,0.13263094183974267
joint,CRC_006,2,35078,0.07863347493246954
joint,CRC_006,3,42543,0.09536757865477084
joint,CRC_006,4,25035,0.05612033311290196
joint,CRC_006,5,26307,0.058971743686882835
joint,CRC_006,6,41779,0.09365493897039869
joint,CRC_006,7,33993,0.07620125757966352
joint,CRC_006,8,72505,0.1625326443918896
joint,CRC_006,9,44012,0.09866059919972203
