mode,section,cluster,count,section_fraction
independent,CRC_003,0,15112,0.09088339477624956
independent,CRC_003,1,14783,0.0889047925474654
independent,CRC_003,2,10448,0.06283415223810583
independent,CRC_003,3,19790,0.11901683315391601
independent,CRC_003,4,13486,0.08110464941453821
independent,CRC_003,5,15790,0.09496087900456461
independent,CRC_003,6,22192,0.1334624336206015
independent,CRC_003,7,17638,0.10607472982156496
independent,CRC_003,8,19165,0.11525809031807985
independent,CRC_003,9,17875,0.10750004510491402
independent,CRC_006,0,35868,0.08040439816630987
independent,CRC_006,1,53349,0.11959111848373104
independent,CRC_006,2,31327,0.07022495208419731
independent,CRC_006,3,46681,0.10464362972012688
independent,CRC_006,4,48224,0.10810253421356437
independent,CRC_006,5,41850,0.09381409789394636
independent,CRC_006,6,30411,0.06817157780293435
independent,CRC_006,7,48641,0.10903731268003453
independent,CRC_006,8,66957,0.15009583160537554
independent,CRC_006,9,42787,0.09591454734977975
