mode,section,cluster,count,section_fraction
joint,CRC_003,0,6540,0.039331485034189526
joint,CRC_003,1,15982,0.09611556480373348
joint,CRC_003,2,2247,0.013513432243398144
joint,CRC_003,3,36215,0.21779659487969016
joint,CRC_003,4,1921,0.011552871980226006
joint,CRC_003,5,9899,0.059532472531107355
joint,CRC_003,6,11872,0.07139807191527493
joint,CRC_003,7,1260,0.007577625557045688
joint,CRC_003,8,21134,0.12709963374809807
joint,CRC_003,9,9439,0.05676603780393195
joint,CRC_003,10,2222,0.013363082529964697
joint,CRC_003,11,16827,0.10119738511778396
joint,CRC_003,12,9936,0.059754990106988856
joint,CRC_003,13,9028,0.05429428851508609
joint,CRC_003,14,11757,0.07070646323348108
joint,CRC_006,0,27245,0.06107443481769578
joint,CRC_006,1,39276,0.08804402649659826
joint,CRC_006,2,40618,0.09105235431914727
joint,CRC_006,3,20408,0.04574810298254856
joint,CRC_006,4,46520,0.10428272004842018
joint,CRC_006,5,27680,0.062049563433797736
joint,CRC_006,6,33724,0.075598247010166
joint,CRC_006,7,16822,0.03770945650590121
joint,CRC_006,8,31292,0.07014649345991325
joint,CRC_006,9,27292,0.06117979354173438
joint,CRC_006,10,34544,0.07743642049339267
joint,CRC_006,11,24053,0.053919008282989046
joint,CRC_006,12,36606,0.08205875430121387
joint,CRC_006,13,20949,0.04696084914648225
joint,CRC_006,14,19066,0.04273977515999955
