mode,section,cluster,count,section_fraction
independent,CRC_003,0,13677,0.08225332122516975
independent,CRC_003,1,16121,0.09695150921042345
independent,CRC_003,2,19710,0.11853571407092899
independent,CRC_003,3,16915,0.10172661610906969
independent,CRC_003,4,20243,0.12174116996133005
independent,CRC_003,5,11485,0.06907065835132518
independent,CRC_003,6,11674,0.07020730218488204
independent,CRC_003,7,16772,0.10086661574823039
independent,CRC_003,8,18215,0.1095448012076089
independent,CRC_003,9,21467,0.1291022919310316
independent,CRC_006,0,49010,0.10986449074748653
independent,CRC_006,1,58244,0.13056411750860242
independent,CRC_006,2,40163,0.09003239220345442
independent,CRC_006,3,57172,0.1281610419305305
independent,CRC_006,4,28603,0.0641186294399175
independent,CRC_006,5,46981,0.10531613221399029
independent,CRC_006,6,17393,0.03898945291922124
independent,CRC_006,7,60980,0.13669734025263677
independent,CRC_006,8,49367,0.11066476871518399
independent,CRC_006,9,38182,0.08559163406897634
