mode,section,cluster,count,section_fraction
joint,CRC_003,0,19162,0.11524004835246784
joint,CRC_003,1,26797,0.1611568508350423
joint,CRC_003,2,6413,0.038567708489947616
joint,CRC_003,3,3420,0.020567840797695438
joint,CRC_003,4,16509,0.09928493676291053
joint,CRC_003,5,12906,0.07761653606288227
joint,CRC_003,6,2308,0.013880285544175752
joint,CRC_003,7,27259,0.1639353135392924
joint,CRC_003,8,2619,0.015750635979287823
joint,CRC_003,9,48886,0.29399984363629805
joint,CRC_006,0,45003,0.10088209910445084
joint,CRC_006,1,63923,0.14329458971743686
joint,CRC_006,2,29452,0.06602181149755097
joint,CRC_006,3,68330,0.15317365135229044
joint,CRC_006,4,37224,0.0834441094385725
joint,CRC_006,5,56120,0.12580279985204945
joint,CRC_006,6,60419,0.1354397605891122
joint,CRC_006,7,41607,0.09326937087391698
joint,CRC_006,8,21038,0.04716035821966173
joint,CRC_006,9,22979,0.05151144935495802
