mode,section,cluster,count,section_fraction
independent,CRC_003,0,28450,0.17109797388726178
independent,CRC_003,1,44898,0.2700160573493947
independent,CRC_003,2,31829,0.19141924115492637
independent,CRC_003,3,37115,0.22320918456329422
independent,CRC_003,4,23987,0.14425754304512295
independent,CRC_006,0,105597,0.23671415281498334
independent,CRC_006,1,131250,0.29421984106524396
independent,CRC_006,2,102242,0.22919333325861083
independent,CRC_006,3,42180,0.09455385063719611
independent,CRC_006,4,64826,0.14531882222396575
