mode,section,cluster,count,section_fraction
independent,CRC_003,0,1359,0.1359
independent,CRC_003,1,838,0.0838
independent,CRC_003,2,855,0.0855
independent,CRC_003,3,1514,0.1514
independent,CRC_003,4,1143,0.1143
independent,CRC_003,5,925,0.0925
independent,CRC_003,6,354,0.0354
independent,CRC_003,7,1225,0.1225
independent,CRC_003,8,897,0.0897
independent,CRC_003,9,890,0.089
independent,CRC_006,0,820,0.082
independent,CRC_006,1,1124,0.1124
independent,CRC_006,2,968,0.0968
independent,CRC_006,3,806,0.0806
independent,CRC_006,4,1555,0.1555
independent,CRC_006,5,840,0.084
independent,CRC_006,6,1221,0.1221
independent,CRC_006,7,873,0.0873
independent,CRC_006,8,850,0.085
independent,CRC_006,9,943,0.0943
