mode,section,cluster,count,section_fraction
joint,CRC_003,0,1534,0.1534
joint,CRC_003,1,1860,0.186
joint,CRC_003,2,153,0.0153
joint,CRC_003,3,239,0.0239
joint,CRC_003,4,259,0.0259
joint,CRC_003,5,412,0.0412
joint,CRC_003,6,2483,0.2483
joint,CRC_003,7,20,0.002
joint,CRC_003,8,1513,0.1513
joint,CRC_003,9,1527,0.1527
joint,CRC_006,0,336,0.0336
joint,CRC_006,1,153,0.0153
joint,CRC_006,2,2155,0.2155
joint,CRC_006,3,1306,0.1306
joint,CRC_006,4,2020,0.202
joint,CRC_006,5,1382,0.1382
joint,CRC_006,6,52,0.0052
joint,CRC_006,7,1897,0.1897
joint,CRC_006,8,654,0.0654
joint,CRC_006,9,45,0.0045
