row_index,selected_spot_index,cluster,x,y
0,0,6,236.0,265.0
1,65,4,170.0,208.0
2,85,5,60.0,350.0
3,92,6,114.0,43.0
4,102,6,298.0,154.0
5,131,4,55.0,250.0
6,145,0,270.0,235.0
7,158,6,330.0,242.0
8,174,6,168.0,33.0
9,203,6,292.0,183.0
10,204,5,427.0,235.0
11,214,4,409.0,365.0
12,249,5,138.0,246.0
13,253,4,221.0,127.0
14,256,5,30.0,409.0
15,273,5,126.0,301.0
16,305,4,104.0,499.0
17,351,4,56.0,388.0
18,379,1,94.0,45.0
19,380,4,475.0,374.0
20,394,6,277.0,230.0
21,435,6,334.0,145.0
22,482,5,424.0,322.0
23,488,4,21.0,351.0
24,505,4,285.0,360.0
25,510,5,86.0,304.0
26,513,5,161.0,327.0
27,534,4,308.0,383.0
28,578,5,184.0,176.0
29,627,5,324.0,496.0
30,636,5,96.0,311.0
31,659,5,359.0,296.0
32,668,6,125.0,388.0
33,689,2,15.0,286.0
34,697,6,335.0,286.0
35,702,5,326.0,251.0
36,710,6,182.0,316.0
37,724,5,81.0,391.0
38,731,6,185.0,260.0
39,742,0,97.0,480.0
40,747,4,9.0,305.0
41,755,5,418.0,193.0
42,774,6,122.0,443.0
43,777,5,302.0,452.0
44,781,5,426.0,374.0
45,785,4,179.0,228.0
46,798,5,397.0,304.0
47,803,0,283.0,374.0
48,807,1,195.0,320.0
49,809,5,30.0,374.0
50,817,6,187.0,336.0
51,871,4,466.0,350.0
52,880,6,113.0,388.0
53,890,5,390.0,376.0
54,895,6,215.0,282.0
55,898,4,468.0,212.0
56,905,6,323.0,253.0
57,949,6,302.0,295.0
58,951,5,216.0,189.0
59,961,4,400.0,476.0
60,999,6,162.0,318.0
61,1032,6,225.0,325.0
62,1058,0,97.0,481.0
63,1063,6,236.0,244.0
64,1070,6,104.0,427.0
65,1075,6,287.0,149.0
66,1079,0,144.0,263.0
67,1129,4,403.0,328.0
68,1137,2,355.0,214.0
69,1158,5,456.0,428.0
70,1172,4,390.0,119.0
71,1173,4,270.0,429.0
72,1200,5,156.0,143.0
73,1207,4,129.0,155.0
74,1223,4,55.0,448.0
75,1228,6,172.0,351.0
76,1231,6,132.0,402.0
77,1248,6,350.0,128.0
78,1277,4,193.0,201.0
79,1288,5,68.0,318.0
80,1296,0,251.0,314.0
81,1300,5,26.0,381.0
82,1340,4,366.0,301.0
83,1359,5,354.0,231.0
84,1391,4,492.0,430.0
85,1411,6,185.0,251.0
86,1418,4,111.0,328.0
87,1433,4,414.0,212.0
88,1444,4,333.0,236.0
89,1480,3,119.0,99.0
90,1502,0,302.0,176.0
91,1525,6,106.0,44.0
92,1546,4,136.0,166.0
93,1547,6,146.0,299.0
94,1612,6,139.0,107.0
95,1615,5,172.0,181.0
96,1641,3,394.0,68.0
97,1645,5,429.0,310.0
98,1676,4,260.0,387.0
99,1684,5,371.0,378.0
100,1765,2,306.0,199.0
101,1772,6,171.0,262.0
102,1789,4,69.0,519.0
103,1794,2,373.0,155.0
104,1828,4,448.0,442.0
105,1838,2,323.0,302.0
106,1893,0,301.0,137.0
107,1922,6,128.0,49.0
108,1926,6,99.0,47.0
109,1952,5,50.0,334.0
110,1956,5,366.0,347.0
111,1978,5,414.0,275.0
112,1982,6,199.0,277.0
113,1989,6,311.0,215.0
114,1998,4,468.0,414.0
115,2000,4,460.0,330.0
116,2013,2,118.0,388.0
117,2035,5,143.0,182.0
118,2052,6,325.0,239.0
119,2076,5,442.0,231.0
120,2127,0,327.0,158.0
121,2199,3,234.0,340.0
122,2224,4,58.0,542.0
123,2235,6,345.0,95.0
124,2236,6,304.0,210.0
125,2251,4,317.0,391.0
126,2288,1,490.0,300.0
127,2296,0,144.0,304.0
128,2301,4,137.0,468.0
129,2304,4,155.0,481.0
130,2311,5,447.0,320.0
131,2355,5,151.0,124.0
132,2406,5,31.0,333.0
133,2410,4,405.0,459.0
134,2419,2,373.0,391.0
135,2426,4,490.0,316.0
136,2440,0,47.0,406.0
137,2442,4,305.0,443.0
138,2468,5,159.0,236.0
139,2472,4,435.0,269.0
140,2493,0,230.0,308.0
141,2519,4,309.0,287.0
142,2522,6,125.0,98.0
143,2546,2,298.0,120.0
144,2554,6,348.0,254.0
145,2576,6,192.0,268.0
146,2578,6,359.0,106.0
147,2603,5,60.0,289.0
148,2604,5,487.0,248.0
