mode,scope,k,n_obs,raw_vs_standardized_ari,raw_vs_standardized_nmi,raw_labels_path,raw_labels_sha256,standardized_labels_path,standardized_labels_sha256
joint,combined,5,612374,0.4314385572800229,0.5033947461143565,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_all.csv,f25290fd99f53bc0e177b1762553ad7713dc8284aea1e67403da74736c204a4f,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_all.csv,0131950756db42e51f596d89610a933782b3444d27cab5404464ef2187e63e7e
joint,combined,10,612374,0.47265722682478745,0.5873930895749814,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_all.csv,b0134f95d290a4bced6ff29ec9d3547e991ba2196b5ac08d9a6ac9139fcbba55,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_all.csv,6dd79f1b37f00437b2c5dad372182f2fbd2f625c8d8c2146c52689562b2eea80
joint,combined,15,612374,0.46073051803682136,0.5673455403715549,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k15/labels_all.csv,95fe0342c8d03ba9a739fdb5eaf3ab6ea45ee1b74a356851d7a3b25d23fab976,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/joint_k15/labels_all.csv,d9b842a6df0c7a82e0c267b57a35486ee6953d7dcb135f3801012edb9e844991
joint,combined,20,612374,0.25318736075935927,0.4396428244055462,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k20/labels_all.csv,22ba3f39d1ce00a3e9001b8333da466fd35b8230a5f305c92fbcbc25f903ef34,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/joint_k20/labels_all.csv,0ffb862e678a4d53cae8801fd5353d273bd0d6858b3b651454139f5ca3087692
joint,combined,25,612374,0.27402444635830336,0.4684683027769996,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k25/labels_all.csv,d25f229221b6dc660382f15dde5b7ce0abb87e2ef148be0dae141669e4d69919,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/joint_k25/labels_all.csv,c9a09320a4ce7b963d97a1b66f336c8ee3a12ae86b272910dcb744acb05f592b
independent,CRC_003_bin20,5,166279,0.41913832790136785,0.46931486725791266,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_CRC_003_bin20.csv,1d88afc99d6fb379dee7f90b5929dee834d061baebeabc2a66fba9a6f0f62236,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_CRC_003_bin20.csv,6158cb5aabcaa79bc46529a3ef401234fcd82eb05ce801fd147579526b0291bd
independent,CRC_006_bin20,5,446095,0.7562306334627992,0.7210435823006177,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_CRC_006_bin20.csv,1c7cf07faf9ea7f3811f236b1a9b12e416946cccbc8bcb1cd8a103f92bc4b6a4,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_CRC_006_bin20.csv,57c33743bc0e3dc107401d352e5212fadc4e51a4584a4cd1160ea0cf61e6e922
independent,CRC_003_bin20,10,166279,0.27486777764256076,0.3918239341187186,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_CRC_003_bin20.csv,60d3541aef192ac28a5ef3f86577f4e64aee86447af6b1bc9eac5215ea42b775,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/independent_k10/labels_CRC_003_bin20.csv,a6e45cd989014a698956bc257d30590d019de53d16990ce81e9d102a5253a874
independent,CRC_006_bin20,10,446095,0.5244625021785767,0.615884236995199,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_CRC_006_bin20.csv,00d9d9d794e30a7a2fb928cbd53e66b362a00d54e9956e6972f793858066601b,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/independent_k10/labels_CRC_006_bin20.csv,f03ff991104be4b69eba8778268a74dbca1fcf4b7ff2d05f878ddb73c4aee949
independent,CRC_003_bin20,15,166279,0.2098767606887084,0.37805726772289394,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/independent_k15/labels_CRC_003_bin20.csv,94bf43f1960058a07d855756619104c8843e3dd60f428da0835bbc4ca1ed9d0e,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/independent_k15/labels_CRC_003_bin20.csv,f7e28cea101420386edf992840b27ce1014a1548aa238d5c69e56a895be0ecee
