section,cluster,count,fraction
CRC_003_bin20,0,12476,0.07503052099182698
CRC_003_bin20,1,18630,0.11204060645060411
CRC_003_bin20,2,23705,0.14256159827759368
CRC_003_bin20,3,15944,0.09588703323931465
CRC_003_bin20,4,24305,0.1461699913999964
CRC_003_bin20,5,15088,0.09073905905135345
CRC_003_bin20,6,15500,0.09321682232873664
CRC_003_bin20,7,20183,0.12138033064908978
CRC_003_bin20,8,17929,0.10782480048593028
CRC_003_bin20,9,2519,0.015149237125554039
CRC_006_bin20,0,58831,0.13187998072159518
CRC_006_bin20,1,54723,0.12267117990562548
CRC_006_bin20,2,40518,0.0908281868211928
CRC_006_bin20,3,26069,0.058438225041751196
CRC_006_bin20,4,42800,0.09594368912451384
CRC_006_bin20,5,77781,0.17435972158396754
CRC_006_bin20,6,42917,0.09620596509712057
CRC_006_bin20,7,24872,0.055754940091236174
CRC_006_bin20,8,50708,0.11367085486275345
CRC_006_bin20,9,26876,0.06024725675024378
