section,obs_name,cluster,x,y
CRC_006_bin20,63737314690380,10,458.0,721.0
CRC_006_bin20,60816736925860,0,424.0,559.0
CRC_006_bin20,55233279437660,6,359.0,389.0
CRC_006_bin20,77309411336240,4,616.0,246.0
CRC_006_bin20,71811853201080,1,552.0,432.0
CRC_006_bin20,67087389178520,0,497.0,584.0
CRC_006_bin20,73701638810160,4,574.0,374.0
CRC_006_bin20,59957743462220,13,414.0,337.0
CRC_006_bin20,74217034885000,4,580.0,340.0
CRC_006_bin20,63995012728220,10,461.0,725.0
CRC_006_bin20,66657892453500,1,492.0,813.0
CRC_006_bin20,32298154084460,8,92.0,761.0
CRC_006_bin20,33930241650480,13,111.0,438.0
CRC_006_bin20,49392123909180,5,291.0,93.0
CRC_006_bin20,34789235103740,12,121.0,141.0
CRC_006_bin20,54546084669380,10,351.0,343.0
CRC_006_bin20,55748675517320,7,365.0,596.0
CRC_006_bin20,41489384085420,10,199.0,137.0
CRC_006_bin20,51024211493880,6,310.0,704.0
CRC_006_bin20,51797305607420,13,319.0,717.0
CRC_006_bin20,65111704213800,13,474.0,156.0
CRC_006_bin20,53343493831620,7,337.0,599.0
CRC_006_bin20,73873437508040,0,576.0,676.0
CRC_006_bin20,66400194413020,2,489.0,677.0
CRC_006_bin20,34961033805700,3,123.0,647.0
CRC_006_bin20,62792421877960,10,447.0,356.0
CRC_006_bin20,28948079591260,13,53.0,645.0
CRC_006_bin20,54288386628240,10,348.0,174.0
CRC_006_bin20,27573690055840,10,37.0,610.0
CRC_006_bin20,45183055970000,2,242.0,638.0
CRC_006_bin20,65111704217180,12,474.0,325.0
CRC_006_bin20,28260884824760,8,45.0,688.0
CRC_006_bin20,66228395722960,5,487.0,766.0
CRC_006_bin20,34617436421840,11,119.0,638.0
CRC_006_bin20,44581760536920,8,235.0,56.0
CRC_006_bin20,77051713297440,6,613.0,194.0
CRC_006_bin20,75677323761380,3,597.0,127.0
CRC_006_bin20,29721173704480,3,62.0,642.0
