section,obs_name,cluster,x,y
CRC_006_bin20,63737314690380,8,458.0,721.0
CRC_006_bin20,60816736925860,2,424.0,559.0
CRC_006_bin20,55233279437660,1,359.0,389.0
CRC_006_bin20,77309411336240,1,616.0,246.0
CRC_006_bin20,71811853201080,6,552.0,432.0
CRC_006_bin20,67087389178520,2,497.0,584.0
CRC_006_bin20,73701638810160,4,574.0,374.0
CRC_006_bin20,59957743462220,3,414.0,337.0
CRC_006_bin20,74217034885000,4,580.0,340.0
CRC_006_bin20,63995012728220,5,461.0,725.0
CRC_006_bin20,66657892453500,7,492.0,813.0
CRC_006_bin20,32298154084460,7,92.0,761.0
CRC_006_bin20,33930241650480,3,111.0,438.0
CRC_006_bin20,49392123909180,7,291.0,93.0
CRC_006_bin20,34789235103740,6,121.0,141.0
CRC_006_bin20,54546084669380,3,351.0,343.0
CRC_006_bin20,55748675517320,0,365.0,596.0
CRC_006_bin20,41489384085420,7,199.0,137.0
CRC_006_bin20,51024211493880,1,310.0,704.0
CRC_006_bin20,51797305607420,1,319.0,717.0
CRC_006_bin20,65111704213800,3,474.0,156.0
CRC_006_bin20,53343493831620,0,337.0,599.0
CRC_006_bin20,73873437508040,2,576.0,676.0
CRC_006_bin20,66400194413020,8,489.0,677.0
CRC_006_bin20,34961033805700,8,123.0,647.0
CRC_006_bin20,62792421877960,5,447.0,356.0
CRC_006_bin20,28948079591260,1,53.0,645.0
CRC_006_bin20,54288386628240,4,348.0,174.0
CRC_006_bin20,27573690055840,8,37.0,610.0
CRC_006_bin20,45183055970000,5,242.0,638.0
CRC_006_bin20,65111704217180,6,474.0,325.0
CRC_006_bin20,28260884824760,7,45.0,688.0
CRC_006_bin20,66228395722960,7,487.0,766.0
CRC_006_bin20,34617436421840,8,119.0,638.0
CRC_006_bin20,44581760536920,7,235.0,56.0
CRC_006_bin20,77051713297440,1,613.0,194.0
CRC_006_bin20,75677323761380,5,597.0,127.0
CRC_006_bin20,29721173704480,3,62.0,642.0
CRC_006_bin20,39170101756860,8,172.0,701.0
CRC_006_bin20,33157147544960,6,102.0,826.0
CRC_006_bin20,69922067596200,9,530.0,700.0
CRC_006_bin20,70179765634760,3,533.0,740.0
CRC_006_bin20,81518479285460,4,665.0,203.0
CRC_006_bin20,56779467662960,3,377.0,326.0
CRC_006_bin20,43207371006880,7,219.0,290.0
CRC_006_bin20,62534723836220,7,444.0,157.0
CRC_006_bin20,55748675511160,5,365.0,288.0
CRC_006_bin20,44152263817880,7,230.0,584.0
CRC_006_bin20,52656299062140,0,329.0,493.0
CRC_006_bin20,63221918614120,1,452.0,684.0
CRC_006_bin20,69750268894180,3,528.0,191.0
CRC_006_bin20,26800595941920,7,28.0,578.0
CRC_006_bin20,77481210031820,4,618.0,433.0
CRC_006_bin20,82377472745020,6,675.0,221.0
CRC_006_bin20,47416438956100,5,268.0,247.0
CRC_006_bin20,66400194401820,1,489.0,117.0
CRC_006_bin20,25426206408040,6,12.0,620.0
CRC_006_bin20,66571993101940,2,491.0,531.0
CRC_006_bin20,66400194402740,8,489.0,163.0
CRC_006_bin20,27144193323240,6,32.0,460.0
CRC_006_bin20,41489384086300,4,199.0,181.0
CRC_006_bin20,54202487293400,9,347.0,728.0
CRC_006_bin20,56779467666340,0,377.0,495.0
CRC_006_bin20,62964220576900,4,449.0,711.0
CRC_006_bin20,62448824488940,6,443.0,89.0
CRC_006_bin20,31782758007740,6,86.0,701.0
CRC_006_bin20,50508815407220,3,304.0,147.0
CRC_006_bin20,65798898994420,6,482.0,819.0
CRC_006_bin20,40544491286300,8,188.0,437.0
CRC_006_bin20,64166811407240,3,463.0,84.0
CRC_006_bin20,69063074134300,9,520.0,565.0
CRC_006_bin20,47588237659240,3,270.0,812.0
CRC_006_bin20,44925357928400,5,239.0,446.0
CRC_006_bin20,65541200949400,4,479.0,456.0
CRC_006_bin20,70437463669580,2,536.0,593.0
CRC_006_bin20,44753559230980,8,237.0,167.0
CRC_006_bin20,53257594482960,1,336.0,462.0
CRC_006_bin20,65798898985680,4,482.0,382.0
CRC_006_bin20,89593017800680,8,759.0,140.0
CRC_006_bin20,56092272905000,1,369.0,796.0
CRC_006_bin20,42863773628940,1,215.0,577.0
CRC_006_bin20,35820027256340,7,133.0,219.0
CRC_006_bin20,53858889898720,3,343.0,178.0
CRC_006_bin20,81088982558200,4,660.0,320.0
CRC_006_bin20,46471546161960,4,257.0,796.0
CRC_006_bin20,74474732923360,5,583.0,370.0
CRC_006_bin20,37709812864860,8,155.0,133.0
CRC_006_bin20,57982058515180,1,391.0,793.0
CRC_006_bin20,63136019260640,7,451.0,306.0
CRC_006_bin20,38139309607960,3,160.0,808.0
CRC_006_bin20,62019327761840,7,438.0,214.0
CRC_006_bin20,73959336846040,8,577.0,280.0
CRC_006_bin20,36249523993860,0,138.0,615.0
CRC_006_bin20,52828097748240,1,331.0,206.0
CRC_006_bin20,77309411340180,6,616.0,443.0
CRC_006_bin20,68547678048840,6,514.0,68.0
CRC_006_bin20,49048526531700,8,287.0,403.0
CRC_006_bin20,58583353935440,1,398.0,734.0
CRC_006_bin20,57466662432340,4,385.0,427.0
CRC_006_bin20,50680614112200,7,306.0,804.0
CRC_006_bin20,53171695135700,8,335.0,395.0
CRC_006_bin20,76364518527560,6,605.0,68.0
CRC_006_bin20,84267258351700,4,697.0,43.0
CRC_006_bin20,34875134457140,5,122.0,515.0
CRC_006_bin20,49392123918400,5,291.0,554.0
CRC_006_bin20,32813550153900,8,98.0,457.0
CRC_006_bin20,43980465119460,1,228.0,255.0
CRC_006_bin20,35648228571640,3,131.0,576.0
CRC_006_bin20,42777874288700,3,214.0,861.0
CRC_006_bin20,39170101754420,7,172.0,579.0
CRC_006_bin20,48189533076420,9,277.0,599.0
CRC_006_bin20,60988535614140,3,426.0,381.0
CRC_006_bin20,75419625724640,5,594.0,178.0
CRC_006_bin20,38568806326780,7,165.0,269.0
CRC_006_bin20,52570399715360,0,328.0,450.0
CRC_006_bin20,46815143542460,9,261.0,637.0
CRC_006_bin20,72584947315220,2,561.0,475.0
CRC_006_bin20,88562225651400,4,747.0,228.0
CRC_006_bin20,65283502912740,2,476.0,511.0
CRC_006_bin20,33758442963780,3,109.0,695.0
CRC_006_bin20,49821620650720,3,296.0,690.0
CRC_006_bin20,85212151156760,8,708.0,40.0
CRC_006_bin20,47158740923940,5,265.0,527.0
CRC_006_bin20,52398601018120,7,326.0,180.0
CRC_006_bin20,51797305598880,7,319.0,290.0
CRC_006_bin20,73014444041920,4,566.0,330.0
CRC_006_bin20,40973988016160,5,193.0,450.0
CRC_006_bin20,40716289974560,7,190.0,258.0
CRC_006_bin20,60215441495020,6,417.0,89.0
CRC_006_bin20,60644938229040,5,422.0,310.0
CRC_006_bin20,58325655898360,3,395.0,768.0
CRC_006_bin20,63737314691380,8,458.0,771.0
CRC_006_bin20,48447231106260,3,280.0,203.0
CRC_006_bin20,39341900436700,4,174.0,101.0
CRC_006_bin20,67259187863240,4,499.0,228.0
CRC_006_bin20,40458591941080,8,187.0,472.0
CRC_006_bin20,57638461125720,0,387.0,504.0
