section,cluster,count,fraction
CRC_003_bin20,0,4040,0.024296513690844904
CRC_003_bin20,1,26662,0.1603449623825017
CRC_003_bin20,2,882,0.0053043378899319815
CRC_003_bin20,3,10323,0.062082403670938605
CRC_003_bin20,4,6822,0.0410274298017188
CRC_003_bin20,5,1247,0.007499443706060296
CRC_003_bin20,6,5458,0.032824349436789975
CRC_003_bin20,7,4259,0.025613577180521895
CRC_003_bin20,8,5449,0.03277022353995393
CRC_003_bin20,9,742,0.004462379494704683
CRC_003_bin20,10,7781,0.04679484480902579
CRC_003_bin20,11,6782,0.04078687026022528
CRC_003_bin20,12,12227,0.07353303784602987
CRC_003_bin20,13,5479,0.03295064319607407
CRC_003_bin20,14,1494,0.008984898874782744
CRC_003_bin20,15,6610,0.039752464231803175
CRC_003_bin20,16,1759,0.010578605837177275
CRC_003_bin20,17,1757,0.010566577860102599
CRC_003_bin20,18,12096,0.0727452053476386
CRC_003_bin20,19,14151,0.08510395179186789
CRC_003_bin20,20,6574,0.03953596064445901
CRC_003_bin20,21,13468,0.08099639762086613
CRC_003_bin20,22,262,0.0015756649967825162
CRC_003_bin20,23,4794,0.028831061047997642
CRC_003_bin20,24,5161,0.03103819484120063
CRC_006_bin20,0,16323,0.036590860691108396
CRC_006_bin20,1,8531,0.01912372925049597
CRC_006_bin20,2,15703,0.03520102220379067
CRC_006_bin20,3,12750,0.028581355989195128
CRC_006_bin20,4,22038,0.04940203319920645
CRC_006_bin20,5,24692,0.055351438594918125
CRC_006_bin20,6,21067,0.04722536679406853
CRC_006_bin20,7,10837,0.024293031753326085
CRC_006_bin20,8,18197,0.040791759602775195
CRC_006_bin20,9,26723,0.05990428047837344
CRC_006_bin20,10,20136,0.045138367388112395
CRC_006_bin20,11,24066,0.05394815005772313
CRC_006_bin20,12,17103,0.03833936717515327
CRC_006_bin20,13,22793,0.051094497808762705
CRC_006_bin20,14,19340,0.043353994104394805
CRC_006_bin20,15,18574,0.04163687107006355
CRC_006_bin20,16,18688,0.04189242201773165
CRC_006_bin20,17,24294,0.054459251953059326
CRC_006_bin20,18,13223,0.029641668254519776
CRC_006_bin20,19,14887,0.03337181542048218
CRC_006_bin20,20,16943,0.03798069917842612
CRC_006_bin20,21,9025,0.02023111669039106
CRC_006_bin20,22,13185,0.029556484605297077
CRC_006_bin20,23,14203,0.0318385097344736
CRC_006_bin20,24,22774,0.05105190598415136
