mode,scope,k,n_obs,embedding_dim,cluster_asw,cluster_asw_scaled,cluster_asw_n_obs,calinski_harabasz,davies_bouldin,ch_dbi_n_obs,section_ari,section_nmi,section_asw,section_asw_n_obs,metric_space,labels_path,labels_sha256,asw_sample_path,asw_sample_sha256
joint,combined,5,612374,128,0.04259027540683746,0.5212951377034187,10000,20832.124770010483,4.001302380550287,612374,0.029456056639651475,0.0604901065354746,0.0036054267548024654,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_all.csv,f25290fd99f53bc0e177b1762553ad7713dc8284aea1e67403da74736c204a4f,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
joint,combined,10,612374,128,0.0338609479367733,0.5169304739683867,10000,13462.373485908362,4.1741882138686055,612374,0.02271465089682146,0.06471628190552813,0.0036054267548024654,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_all.csv,b0134f95d290a4bced6ff29ec9d3547e991ba2196b5ac08d9a6ac9139fcbba55,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
joint,combined,15,612374,128,0.033893488347530365,0.5169467441737652,10000,10335.077345773318,4.061257131340589,612374,0.014296136554534903,0.04835868629984766,0.0036054267548024654,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k15/labels_all.csv,95fe0342c8d03ba9a739fdb5eaf3ab6ea45ee1b74a356851d7a3b25d23fab976,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
joint,combined,20,612374,128,0.02634042128920555,0.5131702106446028,10000,8303.540050487434,4.145349537599683,612374,0.01137580123729856,0.04887815787667484,0.0036054267548024654,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k20/labels_all.csv,22ba3f39d1ce00a3e9001b8333da466fd35b8230a5f305c92fbcbc25f903ef34,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
joint,combined,25,612374,128,0.0260830819606781,0.513041540980339,10000,7125.558622509234,4.00974981400638,612374,0.009277036931797687,0.0507139596230145,0.0036054267548024654,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k25/labels_all.csv,d25f229221b6dc660382f15dde5b7ce0abb87e2ef148be0dae141669e4d69919,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
independent,CRC_003_bin20,5,166279,128,0.032651521265506744,0.5163257606327534,2716,5617.299650714165,4.605850055467999,166279,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_CRC_003_bin20.csv,1d88afc99d6fb379dee7f90b5929dee834d061baebeabc2a66fba9a6f0f62236,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
independent,CRC_003_bin20,10,166279,128,0.025226790457963943,0.512613395228982,2716,3408.2813106723047,4.346828566358513,166279,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_CRC_003_bin20.csv,60d3541aef192ac28a5ef3f86577f4e64aee86447af6b1bc9eac5215ea42b775,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
independent,CRC_003_bin20,15,166279,128,0.01738884299993515,0.5086944214999676,2716,2529.611740892839,4.2998818038299245,166279,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/independent_k15/labels_CRC_003_bin20.csv,94bf43f1960058a07d855756619104c8843e3dd60f428da0835bbc4ca1ed9d0e,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
independent,CRC_003_bin20,20,166279,128,0.022880299016833305,0.5114401495084167,2716,2117.4189393482648,4.096147732089522,166279,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/independent_k20/labels_CRC_003_bin20.csv,c90a577182bc0946863571ed20479b2314c6b4ba6d5a77c8eef91fa0f6dd5a15,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
independent,CRC_003_bin20,25,166279,128,0.021399740129709244,0.5106998700648546,2716,1822.5600665233032,4.012195917789196,166279,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/independent_k25/labels_CRC_003_bin20.csv,602e3ae027bc0838eafdf47bcc678b1d7e133ad8a86b1a4084976f9c1f3a081d,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
