mode,k,section,n_obs,spatial_neighbor_k,neighbor_same_cluster_fraction,labels_path,labels_sha256,spatial_graph_path,spatial_graph_sha256
joint,5,CRC_003_bin20,166279,6,0.6536523954718676,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_CRC_003_bin20.csv,f35ae52f154159a00b5ca59e627cbd8a512cfaf3595489a051ff94c7de441a51,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/spatial_neighbors_CRC_003_bin20.npz,ccdf7450c5e7a054b1afc4e458666af9699e12242994610ab6ac854ce6fbe899
joint,5,CRC_006_bin20,446095,6,0.6319939325330554,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_CRC_006_bin20.csv,3af4d15bb1bbca6cb95fb1b02c960b23d99e5cc66cd140406f2b57ba8d57db2f,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/spatial_neighbors_CRC_006_bin20.npz,c496717c9ff6a423b1b387ccff9c542da97879617576aa1d66bd7f2827be7b4f
joint,10,CRC_003_bin20,166279,6,0.43509001938508973,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_CRC_003_bin20.csv,d57df0e2557a1f29ae7c4ad75a2b17c033b7125825b795d3f4ff47a70ad4d9a3,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/spatial_neighbors_CRC_003_bin20.npz,ccdf7450c5e7a054b1afc4e458666af9699e12242994610ab6ac854ce6fbe899
joint,10,CRC_006_bin20,446095,6,0.4798380016214782,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_CRC_006_bin20.csv,085c24320f53c97a2f8f5caa5fffe3247f7ac0b72b83fb60859ef8c85c930090,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/spatial_neighbors_CRC_006_bin20.npz,c496717c9ff6a423b1b387ccff9c542da97879617576aa1d66bd7f2827be7b4f
joint,15,CRC_003_bin20,166279,6,0.3286364082856725,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k15/labels_CRC_003_bin20.csv,45ef4ac73f2bcb8473dc7ffde06285b35040846953633d2effb6ccde874eed71,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/spatial_neighbors_CRC_003_bin20.npz,ccdf7450c5e7a054b1afc4e458666af9699e12242994610ab6ac854ce6fbe899
joint,15,CRC_006_bin20,446095,6,0.39233122989497754,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k15/labels_CRC_006_bin20.csv,af9102b0532e62d7eafc55dc9157e5245251dd5355b4d9c79f2df7be92ef7c0a,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/spatial_neighbors_CRC_006_bin20.npz,c496717c9ff6a423b1b387ccff9c542da97879617576aa1d66bd7f2827be7b4f
joint,20,CRC_003_bin20,166279,6,0.24832059370094842,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k20/labels_CRC_003_bin20.csv,8acc0be19b22c30839d12a94e02f8f627a107b73a51684b0e629f100f646f1c3,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/spatial_neighbors_CRC_003_bin20.npz,ccdf7450c5e7a054b1afc4e458666af9699e12242994610ab6ac854ce6fbe899
joint,20,CRC_006_bin20,446095,6,0.3057330837601856,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k20/labels_CRC_006_bin20.csv,dfb417ac511c952845906de8e1d643baa4562eab09d51959c27173eca75afb67,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/spatial_neighbors_CRC_006_bin20.npz,c496717c9ff6a423b1b387ccff9c542da97879617576aa1d66bd7f2827be7b4f
joint,25,CRC_003_bin20,166279,6,0.22034953301379007,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k25/labels_CRC_003_bin20.csv,2861e4b9d0257116e3efba9dfde0c68a08d3ff27cc570525171d6c9cc2e958c6,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/spatial_neighbors_CRC_003_bin20.npz,ccdf7450c5e7a054b1afc4e458666af9699e12242994610ab6ac854ce6fbe899
joint,25,CRC_006_bin20,446095,6,0.2773370395692995,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/raw_embedding/clustering/joint_k25/labels_CRC_006_bin20.csv,53c88882241482058d16fff0466bd34002f63795a336c7661f8e6cf20b133dc4,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/spatial_neighbors_CRC_006_bin20.npz,c496717c9ff6a423b1b387ccff9c542da97879617576aa1d66bd7f2827be7b4f
