section,cluster,count,fraction
CRC_003_bin20,0,8607,0.051762399340866856
CRC_003_bin20,1,6707,0.040335821119924946
CRC_003_bin20,2,36239,0.21794093060458627
CRC_003_bin20,3,2711,0.016303922924722904
CRC_003_bin20,4,11430,0.06873988898177161
CRC_003_bin20,5,11635,0.06997275663192586
CRC_003_bin20,6,17813,0.10712717781559908
CRC_003_bin20,7,16514,0.09931500670559722
CRC_003_bin20,8,2262,0.013603642071458212
CRC_003_bin20,9,1668,0.01003133288027953
CRC_003_bin20,10,11555,0.06949163754893883
CRC_003_bin20,11,7922,0.04764281719279043
CRC_003_bin20,12,13641,0.08203681763782558
CRC_003_bin20,13,7339,0.04413666187552247
CRC_003_bin20,14,10236,0.06155918666819021
CRC_006_bin20,0,17195,0.03854560127327139
CRC_006_bin20,1,25682,0.057570696824667394
CRC_006_bin20,2,21258,0.04765352671516157
CRC_006_bin20,3,57620,0.12916531232136652
CRC_006_bin20,4,35234,0.07898317622927852
CRC_006_bin20,5,22353,0.05010816081776303
CRC_006_bin20,6,25108,0.056283975386408724
CRC_006_bin20,7,28489,0.06386307849224941
CRC_006_bin20,8,44980,0.10083054057992132
CRC_006_bin20,9,17351,0.038895302570080365
CRC_006_bin20,10,33745,0.07564532218473644
CRC_006_bin20,11,26498,0.05939990360797588
CRC_006_bin20,12,35430,0.07942254452526928
CRC_006_bin20,13,26471,0.05933937838352817
CRC_006_bin20,14,28681,0.06429348008832199
