mode,scope,k,n_obs,embedding_dim,cluster_asw,cluster_asw_scaled,cluster_asw_n_obs,calinski_harabasz,davies_bouldin,ch_dbi_n_obs,section_ari,section_nmi,section_asw,section_asw_n_obs,metric_space,labels_path,labels_sha256,asw_sample_path,asw_sample_sha256
joint,combined,5,612374,128,0.03676816076040268,0.5183840803802013,10000,20094.23966766805,4.414490436058329,612374,0.02073020923391882,0.04471520213508493,0.004533389117568731,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_all.csv,0131950756db42e51f596d89610a933782b3444d27cab5404464ef2187e63e7e,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
joint,combined,10,612374,128,0.03325725719332695,0.5166286285966635,10000,13251.45186240462,4.195568879036445,612374,0.015551922081737975,0.04869503554666112,0.004533389117568731,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_all.csv,6dd79f1b37f00437b2c5dad372182f2fbd2f625c8d8c2146c52689562b2eea80,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
joint,combined,15,612374,128,0.03517281636595726,0.5175864081829786,10000,10130.323735508397,3.9969815997628646,612374,0.013813350598527018,0.041672735698564445,0.004533389117568731,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/joint_k15/labels_all.csv,d9b842a6df0c7a82e0c267b57a35486ee6953d7dcb135f3801012edb9e844991,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
joint,combined,20,612374,128,0.028569472953677177,0.5142847364768386,10000,8189.804915506114,4.059659639229744,612374,0.008993584697197273,0.044498791638273416,0.004533389117568731,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/joint_k20/labels_all.csv,0ffb862e678a4d53cae8801fd5353d273bd0d6858b3b651454139f5ca3087692,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
joint,combined,25,612374,128,0.028318438678979874,0.5141592193394899,10000,6956.559426621917,3.9911446112506286,612374,0.00519923519644371,0.0390304116723132,0.004533389117568731,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/joint_k25/labels_all.csv,c9a09320a4ce7b963d97a1b66f336c8ee3a12ae86b272910dcb744acb05f592b,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
independent,CRC_003_bin20,5,166279,128,0.030691754072904587,0.5153458770364523,2716,5227.702023512571,4.813865586773777,166279,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_CRC_003_bin20.csv,6158cb5aabcaa79bc46529a3ef401234fcd82eb05ce801fd147579526b0291bd,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
independent,CRC_003_bin20,10,166279,128,0.019496332854032516,0.5097481664270163,2716,3143.7091827799522,4.5949976079507575,166279,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/independent_k10/labels_CRC_003_bin20.csv,a6e45cd989014a698956bc257d30590d019de53d16990ce81e9d102a5253a874,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
independent,CRC_003_bin20,15,166279,128,0.020591897889971733,0.5102959489449859,2716,2488.8231991028256,4.256559568754307,166279,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/independent_k15/labels_CRC_003_bin20.csv,f7e28cea101420386edf992840b27ce1014a1548aa238d5c69e56a895be0ecee,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
independent,CRC_003_bin20,20,166279,128,0.01990949735045433,0.5099547486752272,2716,2050.0128149073867,4.148722260397923,166279,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/independent_k20/labels_CRC_003_bin20.csv,4717305030b5e0a562c1f9dbc12980996c59a80a1cb9877f23636050ac7fc884,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
independent,CRC_003_bin20,25,166279,128,0.020757731050252914,0.5103788655251265,2716,1762.7299668005014,4.007544022341541,166279,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/standardized_embedding/clustering/independent_k25/labels_CRC_003_bin20.csv,1fe03686680e73be39b490e1d22fd47852a72df926ab12732d7320f961a71939,/home/hujinlan/spa_mo_model/results/crc_stereocite_preprocessing_comparison/shared_metrics/asw_sample.csv,158d54ef95d70179ecddb951a6d97a8a59581c990b69ad1fab3034a3b4cef2e0
