row_index,selected_spot_index,cluster,x,y
0,0,6,47.0,71.0
1,1,1,49.0,43.0
2,2,11,28.0,86.0
3,3,5,51.0,41.0
4,4,0,24.0,6.0
5,5,4,44.0,124.0
6,6,0,50.0,6.0
7,7,8,58.0,26.0
8,8,4,41.0,123.0
9,9,4,46.0,124.0
10,10,9,67.0,55.0
11,11,3,59.0,113.0
12,12,1,38.0,104.0
13,13,3,52.0,18.0
14,14,4,59.0,15.0
15,15,3,29.0,49.0
16,16,6,59.0,77.0
17,17,4,73.0,75.0
18,18,11,39.0,45.0
19,19,8,68.0,72.0
20,20,1,54.0,98.0
21,21,8,30.0,108.0
22,22,11,35.0,17.0
23,23,7,14.0,82.0
24,24,1,64.0,58.0
25,25,11,21.0,75.0
26,26,2,35.0,39.0
27,27,3,38.0,12.0
28,28,0,27.0,101.0
29,29,4,14.0,24.0
30,30,0,50.0,4.0
31,31,4,48.0,126.0
32,32,11,24.0,58.0
33,33,8,56.0,26.0
34,34,4,7.0,53.0
35,35,7,26.0,56.0
36,36,6,41.0,99.0
37,37,8,69.0,81.0
38,38,5,14.0,52.0
39,39,2,60.0,44.0
40,40,9,49.0,91.0
41,41,3,36.0,110.0
42,42,1,39.0,79.0
43,43,3,53.0,41.0
44,44,7,19.0,71.0
45,45,5,22.0,48.0
46,46,1,63.0,77.0
47,47,0,19.0,13.0
48,48,2,42.0,100.0
49,49,5,37.0,61.0
50,50,7,12.0,60.0
51,51,4,39.0,121.0
52,52,0,12.0,42.0
53,53,6,53.0,97.0
54,54,9,60.0,70.0
55,55,9,51.0,83.0
56,56,8,72.0,98.0
57,57,5,34.0,8.0
58,58,2,37.0,77.0
59,59,11,32.0,26.0
60,60,4,10.0,86.0
61,61,5,45.0,3.0
62,62,9,56.0,52.0
63,63,5,60.0,54.0
64,64,8,51.0,27.0
65,65,5,25.0,101.0
66,66,10,34.0,46.0
67,67,5,18.0,40.0
68,68,4,34.0,120.0
69,69,9,66.0,80.0
70,70,8,66.0,74.0
71,71,6,48.0,110.0
72,72,4,25.0,113.0
73,73,9,62.0,34.0
74,74,4,13.0,25.0
75,75,11,28.0,70.0
76,76,6,39.0,71.0
77,77,5,30.0,14.0
78,78,2,46.0,28.0
79,79,3,57.0,73.0
80,80,5,48.0,4.0
81,81,7,18.0,70.0
82,82,10,57.0,31.0
83,83,10,29.0,25.0
84,84,8,50.0,12.0
85,85,0,28.0,100.0
86,86,4,64.0,26.0
87,87,1,59.0,107.0
88,88,2,34.0,60.0
89,89,9,67.0,53.0
90,90,5,49.0,15.0
91,91,11,47.0,27.0
92,92,5,56.0,16.0
93,93,8,72.0,92.0
94,94,9,52.0,32.0
95,95,0,27.0,111.0
96,96,7,16.0,66.0
97,97,4,75.0,97.0
98,98,0,10.0,42.0
99,99,7,20.0,72.0
100,100,5,45.0,97.0
101,101,7,15.0,55.0
102,102,6,60.0,98.0
103,103,11,34.0,16.0
104,104,11,45.0,73.0
105,105,10,27.0,17.0
106,106,1,48.0,88.0
107,107,1,64.0,98.0
108,108,11,34.0,34.0
109,109,2,59.0,51.0
110,110,0,20.0,86.0
111,111,4,70.0,48.0
112,112,4,42.0,124.0
113,113,8,70.0,80.0
114,114,8,50.0,20.0
115,115,4,75.0,89.0
116,116,6,19.0,105.0
117,117,5,14.0,44.0
118,118,8,62.0,54.0
119,119,0,20.0,102.0
120,120,6,50.0,70.0
121,121,4,65.0,115.0
122,122,11,28.0,28.0
123,123,10,28.0,24.0
124,124,7,18.0,72.0
125,125,10,25.0,45.0
126,126,9,33.0,61.0
127,127,1,58.0,94.0
128,128,7,16.0,90.0
129,129,9,41.0,83.0
130,130,11,23.0,75.0
131,131,7,15.0,59.0
132,132,10,34.0,28.0
133,133,2,55.0,45.0
134,134,10,28.0,50.0
135,135,11,50.0,38.0
136,136,6,52.0,74.0
137,137,10,30.0,58.0
138,138,4,68.0,42.0
139,139,2,18.0,56.0
140,140,1,51.0,111.0
141,141,0,35.0,117.0
142,142,7,15.0,57.0
143,143,11,56.0,80.0
144,144,8,48.0,24.0
145,145,10,28.0,30.0
146,146,4,65.0,39.0
147,147,6,40.0,74.0
148,148,5,46.0,16.0
149,149,9,29.0,79.0
150,150,3,55.0,61.0
151,151,11,35.0,85.0
152,152,0,25.0,51.0
153,153,8,72.0,82.0
154,154,3,60.0,58.0
155,155,6,33.0,47.0
156,156,5,31.0,11.0
157,157,5,33.0,3.0
158,158,9,58.0,42.0
159,159,4,65.0,37.0
160,160,6,66.0,56.0
161,161,9,61.0,23.0
162,162,11,37.0,65.0
163,163,4,72.0,76.0
164,164,2,46.0,90.0
165,165,8,42.0,116.0
166,166,11,43.0,89.0
167,167,5,19.0,61.0
168,168,1,65.0,77.0
169,169,4,46.0,0.0
170,170,10,41.0,59.0
171,171,1,41.0,105.0
172,172,10,31.0,71.0
173,173,0,10.0,52.0
174,174,7,26.0,8.0
175,175,11,32.0,108.0
176,176,5,20.0,20.0
177,177,4,71.0,109.0
178,178,6,60.0,86.0
179,179,3,44.0,24.0
180,180,2,30.0,78.0
181,181,0,11.0,43.0
182,182,7,13.0,69.0
183,183,11,17.0,55.0
184,184,2,27.0,89.0
185,185,3,59.0,53.0
186,186,8,71.0,77.0
187,187,5,46.0,54.0
188,188,10,26.0,24.0
189,189,10,24.0,22.0
190,190,5,22.0,34.0
191,191,5,17.0,43.0
192,192,5,53.0,53.0
193,193,10,48.0,70.0
194,194,3,60.0,56.0
195,195,4,8.0,56.0
196,196,2,50.0,116.0
197,197,11,29.0,21.0
198,198,1,65.0,81.0
199,199,10,25.0,47.0
200,200,6,52.0,104.0
201,201,4,50.0,122.0
202,202,1,44.0,108.0
203,203,4,13.0,27.0
204,204,6,43.0,101.0
205,205,0,26.0,102.0
206,206,6,49.0,93.0
207,207,1,54.0,100.0
208,208,11,58.0,80.0
209,209,1,41.0,93.0
210,210,2,52.0,58.0
211,211,9,40.0,90.0
212,212,9,62.0,36.0
213,213,0,31.0,1.0
214,214,5,20.0,76.0
215,215,11,36.0,54.0
216,216,3,57.0,65.0
217,217,3,33.0,9.0
218,218,5,33.0,7.0
219,219,0,9.0,63.0
220,220,4,13.0,99.0
221,221,2,43.0,49.0
222,222,3,44.0,10.0
223,223,7,18.0,86.0
224,224,11,18.0,58.0
225,225,3,57.0,39.0
226,226,9,36.0,20.0
227,227,2,59.0,79.0
228,228,4,66.0,40.0
229,229,9,59.0,89.0
230,230,4,7.0,51.0
231,231,3,46.0,84.0
232,232,1,62.0,98.0
233,233,6,68.0,84.0
234,234,2,55.0,55.0
235,235,8,49.0,19.0
236,236,4,65.0,43.0
237,237,5,23.0,23.0
238,238,9,63.0,45.0
239,239,4,75.0,85.0
240,240,4,68.0,40.0
241,241,11,38.0,98.0
242,242,5,48.0,8.0
243,243,2,49.0,55.0
244,244,5,17.0,77.0
