row_index,selected_spot_index,cluster,x,y
0,0,3,47.0,71.0
1,1,5,49.0,43.0
2,2,5,28.0,86.0
3,3,11,51.0,41.0
4,4,5,24.0,6.0
5,5,9,12.0,10.0
6,6,11,50.0,6.0
7,7,8,58.0,26.0
8,8,10,67.0,55.0
9,9,9,16.0,8.0
10,10,2,67.0,21.0
11,11,3,38.0,104.0
12,12,1,52.0,18.0
13,13,10,59.0,15.0
14,14,5,29.0,49.0
15,15,11,59.0,77.0
16,16,7,67.0,19.0
17,17,11,39.0,45.0
18,18,8,68.0,72.0
19,19,10,54.0,98.0
20,20,3,30.0,108.0
21,21,2,10.0,2.0
22,22,8,35.0,17.0
23,23,7,14.0,82.0
24,24,10,64.0,58.0
25,25,5,21.0,75.0
26,26,6,35.0,39.0
27,27,7,7.0,39.0
28,28,4,38.0,12.0
29,29,8,27.0,101.0
30,30,1,7.0,27.0
31,31,11,14.0,24.0
32,32,10,50.0,4.0
33,33,4,18.0,12.0
34,34,9,24.0,58.0
35,35,3,56.0,26.0
36,36,7,7.0,53.0
37,37,9,26.0,56.0
38,38,3,41.0,99.0
39,39,2,69.0,81.0
40,40,1,14.0,52.0
41,41,10,60.0,44.0
42,42,0,49.0,91.0
43,43,0,36.0,110.0
44,44,9,39.0,79.0
45,45,11,53.0,41.0
46,46,4,19.0,71.0
47,47,9,22.0,48.0
48,48,10,63.0,77.0
49,49,4,19.0,13.0
50,50,6,42.0,100.0
51,51,7,5.0,55.0
52,52,2,67.0,25.0
53,53,5,37.0,61.0
54,54,9,12.0,60.0
55,55,9,12.0,42.0
56,56,11,53.0,97.0
57,57,10,66.0,26.0
58,58,5,60.0,70.0
59,59,1,15.0,13.0
60,60,11,51.0,83.0
61,61,4,34.0,8.0
62,62,6,37.0,77.0
63,63,9,32.0,26.0
64,64,7,5.0,47.0
65,65,0,45.0,3.0
66,66,11,56.0,52.0
67,67,11,60.0,54.0
68,68,4,51.0,27.0
69,69,0,25.0,101.0
70,70,4,34.0,46.0
71,71,0,18.0,40.0
72,72,0,66.0,80.0
73,73,8,66.0,74.0
74,74,10,48.0,110.0
75,75,7,6.0,54.0
76,76,10,62.0,34.0
77,77,4,13.0,25.0
78,78,10,28.0,70.0
79,79,9,20.0,0.0
80,80,9,10.0,20.0
81,81,0,24.0,0.0
82,82,3,39.0,71.0
83,83,4,30.0,14.0
84,84,4,46.0,28.0
85,85,11,57.0,73.0
86,86,3,48.0,4.0
87,87,2,18.0,70.0
88,88,3,57.0,31.0
89,89,4,29.0,25.0
90,90,0,50.0,12.0
91,91,1,28.0,100.0
92,92,10,64.0,26.0
93,93,10,34.0,60.0
94,94,10,67.0,53.0
95,95,11,49.0,15.0
96,96,4,47.0,27.0
97,97,11,56.0,16.0
98,98,5,52.0,32.0
99,99,8,27.0,111.0
100,100,5,16.0,66.0
101,101,9,10.0,42.0
102,102,4,20.0,72.0
103,103,2,69.0,35.0
104,104,11,45.0,97.0
105,105,4,15.0,55.0
106,106,2,60.0,98.0
107,107,9,23.0,1.0
108,108,11,34.0,16.0
109,109,11,45.0,73.0
110,110,4,27.0,17.0
111,111,3,48.0,88.0
112,112,4,34.0,34.0
113,113,11,59.0,51.0
114,114,5,20.0,86.0
115,115,8,70.0,48.0
116,116,0,50.0,20.0
117,117,1,14.0,44.0
118,118,0,62.0,54.0
119,119,2,20.0,102.0
120,120,9,50.0,70.0
121,121,9,28.0,28.0
122,122,4,28.0,24.0
123,123,2,18.0,72.0
124,124,9,25.0,45.0
125,125,10,33.0,61.0
126,126,0,58.0,94.0
127,127,7,16.0,90.0
128,128,6,41.0,83.0
129,129,4,23.0,75.0
130,130,9,15.0,59.0
131,131,5,34.0,28.0
132,132,11,55.0,45.0
133,133,11,28.0,50.0
134,134,5,50.0,38.0
135,135,11,52.0,74.0
136,136,9,30.0,58.0
137,137,10,68.0,42.0
138,138,7,5.0,51.0
139,139,9,18.0,56.0
140,140,10,51.0,111.0
141,141,2,35.0,117.0
142,142,4,13.0,13.0
143,143,1,15.0,57.0
144,144,3,56.0,80.0
145,145,5,48.0,24.0
146,146,5,28.0,30.0
147,147,10,65.0,39.0
148,148,3,40.0,74.0
149,149,0,46.0,16.0
150,150,11,29.0,79.0
151,151,0,55.0,61.0
152,152,9,35.0,85.0
153,153,9,25.0,51.0
154,154,6,60.0,58.0
155,155,3,33.0,47.0
156,156,4,31.0,11.0
157,157,1,33.0,3.0
158,158,3,58.0,42.0
159,159,10,65.0,37.0
160,160,1,9.0,21.0
161,161,4,17.0,9.0
162,162,4,22.0,2.0
163,163,10,66.0,56.0
164,164,0,61.0,23.0
165,165,6,37.0,65.0
166,166,11,46.0,90.0
167,167,8,42.0,116.0
168,168,3,43.0,89.0
169,169,4,19.0,61.0
170,170,10,65.0,77.0
171,171,2,52.0,0.0
172,172,8,46.0,0.0
173,173,6,41.0,59.0
174,174,9,41.0,105.0
175,175,5,31.0,71.0
176,176,5,10.0,52.0
177,177,4,26.0,8.0
178,178,9,32.0,108.0
179,179,1,20.0,20.0
180,180,10,60.0,86.0
181,181,11,44.0,24.0
182,182,6,30.0,78.0
183,183,9,11.0,43.0
184,184,2,13.0,69.0
185,185,2,72.0,46.0
186,186,9,17.0,55.0
187,187,6,27.0,89.0
188,188,11,59.0,53.0
189,189,5,46.0,54.0
190,190,4,26.0,24.0
191,191,4,24.0,22.0
192,192,9,22.0,34.0
193,193,4,17.0,43.0
194,194,10,53.0,53.0
195,195,9,48.0,70.0
196,196,0,60.0,56.0
197,197,7,8.0,56.0
198,198,5,29.0,21.0
199,199,1,15.0,5.0
200,200,10,65.0,81.0
201,201,4,25.0,47.0
202,202,10,52.0,104.0
203,203,0,44.0,108.0
204,204,1,13.0,27.0
205,205,11,43.0,101.0
206,206,0,26.0,102.0
207,207,0,49.0,93.0
208,208,10,54.0,100.0
209,209,0,58.0,80.0
210,210,6,41.0,93.0
211,211,0,52.0,58.0
212,212,3,40.0,90.0
213,213,10,62.0,36.0
214,214,1,31.0,1.0
215,215,9,20.0,76.0
216,216,3,36.0,54.0
217,217,5,57.0,65.0
218,218,4,33.0,9.0
219,219,4,33.0,7.0
220,220,7,9.0,63.0
221,221,11,43.0,49.0
222,222,9,44.0,10.0
223,223,9,18.0,86.0
224,224,9,18.0,58.0
225,225,11,57.0,39.0
226,226,4,36.0,20.0
227,227,11,59.0,79.0
228,228,10,66.0,40.0
229,229,10,59.0,89.0
230,230,7,7.0,51.0
231,231,3,46.0,84.0
232,232,3,55.0,55.0
233,233,9,49.0,19.0
234,234,10,65.0,43.0
235,235,9,23.0,23.0
236,236,10,63.0,45.0
237,237,10,68.0,40.0
238,238,11,38.0,98.0
239,239,11,48.0,8.0
240,240,6,49.0,55.0
241,241,5,17.0,77.0
242,242,9,23.0,49.0
243,243,5,30.0,64.0
244,244,1,58.0,70.0
245,245,2,71.0,37.0
246,246,9,40.0,108.0
247,247,9,27.0,59.0
248,248,7,15.0,79.0
249,249,10,65.0,35.0
250,250,0,37.0,97.0
251,251,8,55.0,105.0
252,252,11,51.0,71.0
253,253,11,52.0,20.0
254,254,1,19.0,41.0
255,255,4,27.0,47.0
256,256,10,58.0,92.0
257,257,0,34.0,110.0
258,258,0,24.0,86.0
259,259,11,28.0,74.0
260,260,3,53.0,87.0
261,261,5,14.0,66.0
262,262,0,59.0,97.0
263,263,2,46.0,34.0
264,264,0,48.0,94.0
265,265,9,45.0,13.0
266,266,9,8.0,26.0
267,267,4,23.0,29.0
268,268,7,5.0,31.0
269,269,0,29.0,107.0
270,270,0,20.0,54.0
271,271,11,25.0,1.0
272,272,5,29.0,99.0
273,273,4,56.0,72.0
274,274,3,35.0,53.0
275,275,1,30.0,2.0
276,276,7,10.0,76.0
277,277,4,38.0,94.0
278,278,9,13.0,59.0
279,279,3,57.0,41.0
280,280,11,32.0,48.0
281,281,3,43.0,111.0
282,282,10,62.0,40.0
283,283,11,39.0,99.0
284,284,0,54.0,94.0
285,285,9,37.0,35.0
286,286,5,57.0,75.0
287,287,6,50.0,92.0
288,288,11,47.0,55.0
289,289,1,18.0,52.0
