row_index,selected_spot_index,cluster,x,y
0,0,5,47.0,71.0
1,1,0,49.0,43.0
2,2,0,28.0,86.0
3,3,11,51.0,41.0
4,4,0,24.0,6.0
5,5,2,12.0,10.0
6,6,11,50.0,6.0
7,7,7,58.0,26.0
8,8,1,67.0,55.0
9,9,2,16.0,8.0
10,10,9,67.0,21.0
11,11,5,38.0,104.0
12,12,6,52.0,18.0
13,13,1,59.0,15.0
14,14,0,29.0,49.0
15,15,3,59.0,77.0
16,16,4,67.0,19.0
17,17,3,39.0,45.0
18,18,7,68.0,72.0
19,19,1,54.0,98.0
20,20,5,30.0,108.0
21,21,9,10.0,2.0
22,22,5,35.0,17.0
23,23,4,14.0,82.0
24,24,1,64.0,58.0
25,25,0,21.0,75.0
26,26,10,35.0,39.0
27,27,4,7.0,39.0
28,28,6,38.0,12.0
29,29,7,27.0,101.0
30,30,0,7.0,27.0
31,31,6,14.0,24.0
32,32,1,50.0,4.0
33,33,6,18.0,12.0
34,34,2,24.0,58.0
35,35,7,56.0,26.0
36,36,4,7.0,53.0
37,37,3,26.0,56.0
38,38,5,41.0,99.0
39,39,9,69.0,81.0
40,40,2,14.0,52.0
41,41,1,60.0,44.0
42,42,8,49.0,91.0
43,43,5,36.0,110.0
44,44,3,39.0,79.0
45,45,5,53.0,41.0
46,46,6,19.0,71.0
47,47,2,22.0,48.0
48,48,1,63.0,77.0
49,49,6,19.0,13.0
50,50,8,42.0,100.0
51,51,4,5.0,55.0
52,52,9,67.0,25.0
53,53,0,37.0,61.0
54,54,3,12.0,60.0
55,55,2,12.0,42.0
56,56,11,53.0,97.0
57,57,1,66.0,26.0
58,58,0,60.0,70.0
59,59,6,15.0,13.0
60,60,11,51.0,83.0
61,61,6,34.0,8.0
62,62,10,37.0,77.0
63,63,2,32.0,26.0
64,64,4,5.0,47.0
65,65,5,45.0,3.0
66,66,11,56.0,52.0
67,67,11,60.0,54.0
68,68,11,51.0,27.0
69,69,5,25.0,101.0
70,70,3,34.0,46.0
71,71,5,18.0,40.0
72,72,11,66.0,80.0
73,73,7,66.0,74.0
74,74,1,48.0,110.0
75,75,4,6.0,54.0
76,76,1,62.0,34.0
77,77,6,13.0,25.0
78,78,5,28.0,70.0
79,79,2,20.0,0.0
80,80,2,10.0,20.0
81,81,2,24.0,0.0
82,82,5,39.0,71.0
83,83,3,30.0,14.0
84,84,6,46.0,28.0
85,85,6,57.0,73.0
86,86,5,48.0,4.0
87,87,6,18.0,70.0
88,88,8,57.0,31.0
89,89,3,29.0,25.0
90,90,5,50.0,12.0
91,91,0,28.0,100.0
92,92,1,64.0,26.0
93,93,5,34.0,60.0
94,94,1,67.0,53.0
95,95,11,49.0,15.0
96,96,6,47.0,27.0
97,97,8,56.0,16.0
98,98,0,52.0,32.0
99,99,7,27.0,111.0
100,100,0,16.0,66.0
101,101,2,10.0,42.0
102,102,6,20.0,72.0
103,103,9,69.0,35.0
104,104,8,45.0,97.0
105,105,6,15.0,55.0
106,106,11,60.0,98.0
107,107,2,23.0,1.0
108,108,8,34.0,16.0
109,109,5,45.0,73.0
110,110,6,27.0,17.0
111,111,8,48.0,88.0
112,112,3,34.0,34.0
113,113,11,59.0,51.0
114,114,0,20.0,86.0
115,115,7,70.0,48.0
116,116,5,50.0,20.0
117,117,2,14.0,44.0
118,118,5,62.0,54.0
119,119,9,20.0,102.0
120,120,3,50.0,70.0
121,121,3,28.0,28.0
122,122,6,28.0,24.0
123,123,9,18.0,72.0
124,124,2,25.0,45.0
125,125,1,33.0,61.0
126,126,5,58.0,94.0
127,127,4,16.0,90.0
128,128,10,41.0,83.0
129,129,3,23.0,75.0
130,130,3,15.0,59.0
131,131,0,34.0,28.0
132,132,8,55.0,45.0
133,133,11,28.0,50.0
134,134,0,50.0,38.0
135,135,8,52.0,74.0
136,136,3,30.0,58.0
137,137,1,68.0,42.0
138,138,4,5.0,51.0
139,139,2,18.0,56.0
140,140,1,51.0,111.0
141,141,9,35.0,117.0
142,142,2,13.0,13.0
143,143,2,15.0,57.0
144,144,5,56.0,80.0
145,145,2,48.0,24.0
146,146,0,28.0,30.0
147,147,1,65.0,39.0
148,148,11,40.0,74.0
149,149,11,46.0,16.0
150,150,11,29.0,79.0
151,151,7,55.0,61.0
152,152,2,35.0,85.0
153,153,2,25.0,51.0
154,154,10,60.0,58.0
155,155,11,33.0,47.0
156,156,6,31.0,11.0
157,157,0,33.0,3.0
158,158,8,58.0,42.0
159,159,1,65.0,37.0
160,160,0,9.0,21.0
161,161,3,17.0,9.0
162,162,6,22.0,2.0
163,163,1,66.0,56.0
164,164,5,61.0,23.0
165,165,10,37.0,65.0
166,166,8,46.0,90.0
167,167,7,42.0,116.0
168,168,5,43.0,89.0
169,169,3,19.0,61.0
170,170,1,65.0,77.0
171,171,9,52.0,0.0
172,172,7,46.0,0.0
173,173,10,41.0,59.0
174,174,2,41.0,105.0
175,175,0,31.0,71.0
176,176,0,10.0,52.0
177,177,6,26.0,8.0
178,178,2,32.0,108.0
179,179,0,20.0,20.0
180,180,1,60.0,86.0
181,181,11,44.0,24.0
182,182,10,30.0,78.0
183,183,2,11.0,43.0
184,184,4,13.0,69.0
185,185,4,72.0,46.0
186,186,2,17.0,55.0
187,187,10,27.0,89.0
188,188,8,59.0,53.0
189,189,0,46.0,54.0
190,190,6,26.0,24.0
191,191,6,24.0,22.0
192,192,3,22.0,34.0
193,193,2,17.0,43.0
194,194,11,53.0,53.0
195,195,6,48.0,70.0
196,196,11,60.0,56.0
197,197,4,8.0,56.0
198,198,0,29.0,21.0
199,199,2,15.0,5.0
200,200,1,65.0,81.0
201,201,3,25.0,47.0
202,202,1,52.0,104.0
203,203,10,44.0,108.0
204,204,0,13.0,27.0
205,205,8,43.0,101.0
206,206,11,26.0,102.0
207,207,5,49.0,93.0
208,208,1,54.0,100.0
209,209,11,58.0,80.0
210,210,10,41.0,93.0
211,211,8,52.0,58.0
212,212,5,40.0,90.0
213,213,1,62.0,36.0
214,214,2,31.0,1.0
215,215,3,20.0,76.0
216,216,5,36.0,54.0
217,217,9,57.0,65.0
218,218,6,33.0,9.0
219,219,6,33.0,7.0
220,220,4,9.0,63.0
221,221,8,43.0,49.0
222,222,2,44.0,10.0
223,223,2,18.0,86.0
224,224,2,18.0,58.0
225,225,8,57.0,39.0
226,226,6,36.0,20.0
227,227,11,59.0,79.0
228,228,1,66.0,40.0
229,229,1,59.0,89.0
230,230,4,7.0,51.0
231,231,5,46.0,84.0
232,232,10,55.0,55.0
233,233,6,49.0,19.0
234,234,1,65.0,43.0
235,235,3,23.0,23.0
236,236,1,63.0,45.0
237,237,1,68.0,40.0
238,238,8,38.0,98.0
239,239,2,48.0,8.0
240,240,10,49.0,55.0
241,241,0,17.0,77.0
242,242,2,23.0,49.0
243,243,0,30.0,64.0
244,244,10,58.0,70.0
245,245,9,71.0,37.0
246,246,2,40.0,108.0
247,247,3,27.0,59.0
248,248,4,15.0,79.0
249,249,1,65.0,35.0
250,250,10,37.0,97.0
251,251,7,55.0,105.0
252,252,5,51.0,71.0
253,253,8,52.0,20.0
254,254,2,19.0,41.0
255,255,6,27.0,47.0
256,256,1,58.0,92.0
257,257,5,34.0,110.0
258,258,11,24.0,86.0
259,259,8,28.0,74.0
260,260,10,53.0,87.0
261,261,9,14.0,66.0
262,262,8,59.0,97.0
263,263,6,46.0,34.0
264,264,11,48.0,94.0
265,265,2,45.0,13.0
266,266,2,8.0,26.0
267,267,3,23.0,29.0
268,268,4,5.0,31.0
269,269,5,29.0,107.0
270,270,5,20.0,54.0
271,271,2,25.0,1.0
272,272,0,29.0,99.0
273,273,6,56.0,72.0
274,274,11,35.0,53.0
275,275,0,30.0,2.0
276,276,4,10.0,76.0
277,277,6,38.0,94.0
278,278,5,13.0,59.0
279,279,5,57.0,41.0
280,280,8,32.0,48.0
281,281,5,43.0,111.0
282,282,1,62.0,40.0
283,283,6,39.0,99.0
284,284,11,54.0,94.0
285,285,2,37.0,35.0
286,286,0,57.0,75.0
287,287,10,50.0,92.0
288,288,11,47.0,55.0
289,289,2,18.0,52.0
290,290,0,36.0,2.0
291,291,6,21.0,27.0
292,292,2,14.0,50.0
293,293,11,50.0,14.0
294,294,2,32.0,90.0
295,295,0,47.0,25.0
296,296,4,8.0,58.0
297,297,5,44.0,50.0
298,298,0,16.0,16.0
299,299,6,22.0,6.0
300,300,3,45.0,25.0
301,301,10,42.0,42.0
302,302,2,28.0,2.0
303,303,6,56.0,74.0
304,304,11,66.0,66.0
305,305,4,6.0,36.0
306,306,5,42.0,114.0
307,307,5,56.0,54.0
308,308,0,16.0,60.0
309,309,4,16.0,74.0
310,310,3,47.0,17.0
311,311,6,19.0,25.0
312,312,0,26.0,68.0
313,313,3,23.0,73.0
314,314,1,69.0,59.0
315,315,6,31.0,7.0
316,316,5,24.0,26.0
317,317,3,18.0,62.0
318,318,2,21.0,41.0
319,319,11,60.0,48.0
320,320,3,35.0,47.0
321,321,2,19.0,67.0
322,322,7,23.0,107.0
323,323,11,36.0,16.0
324,324,10,46.0,48.0
325,325,9,46.0,116.0
326,326,11,47.0,81.0
327,327,4,17.0,97.0
328,328,1,63.0,39.0
329,329,10,29.0,39.0
330,330,11,54.0,82.0
331,331,6,14.0,36.0
