row_index,selected_spot_index,cluster,x,y
0,0,5,47.0,71.0
1,1,4,49.0,43.0
2,2,5,28.0,86.0
3,3,7,51.0,41.0
4,4,2,24.0,6.0
5,5,3,44.0,124.0
6,6,2,50.0,6.0
7,7,4,58.0,26.0
8,8,3,41.0,123.0
9,9,3,46.0,124.0
10,10,1,67.0,55.0
11,11,1,59.0,113.0
12,12,4,38.0,104.0
13,13,7,52.0,18.0
14,14,3,59.0,15.0
15,15,4,29.0,49.0
16,16,1,59.0,77.0
17,17,3,73.0,75.0
18,18,6,39.0,45.0
19,19,4,68.0,72.0
20,20,4,54.0,98.0
21,21,4,30.0,108.0
22,22,6,35.0,17.0
23,23,0,14.0,82.0
24,24,4,64.0,58.0
25,25,6,21.0,75.0
26,26,6,35.0,39.0
27,27,7,38.0,12.0
28,28,2,27.0,101.0
29,29,3,14.0,24.0
30,30,2,50.0,4.0
31,31,3,48.0,126.0
32,32,6,24.0,58.0
33,33,4,56.0,26.0
34,34,3,7.0,53.0
35,35,0,26.0,56.0
36,36,1,41.0,99.0
37,37,4,69.0,81.0
38,38,0,14.0,52.0
39,39,1,60.0,44.0
40,40,1,49.0,91.0
41,41,7,36.0,110.0
42,42,5,39.0,79.0
43,43,5,53.0,41.0
44,44,0,19.0,71.0
45,45,6,22.0,48.0
46,46,1,63.0,77.0
47,47,2,19.0,13.0
48,48,1,42.0,100.0
49,49,0,37.0,61.0
50,50,0,12.0,60.0
51,51,3,39.0,121.0
52,52,2,12.0,42.0
53,53,1,53.0,97.0
54,54,4,60.0,70.0
55,55,1,51.0,83.0
56,56,4,72.0,98.0
57,57,7,34.0,8.0
58,58,4,37.0,77.0
59,59,7,32.0,26.0
60,60,3,10.0,86.0
61,61,7,45.0,3.0
62,62,4,56.0,52.0
63,63,7,60.0,54.0
64,64,4,51.0,27.0
65,65,6,25.0,101.0
66,66,5,34.0,46.0
67,67,6,18.0,40.0
68,68,3,34.0,120.0
69,69,1,66.0,80.0
70,70,4,66.0,74.0
71,71,1,48.0,110.0
72,72,3,25.0,113.0
73,73,3,62.0,34.0
74,74,3,13.0,25.0
75,75,6,28.0,70.0
76,76,1,39.0,71.0
77,77,7,30.0,14.0
78,78,4,46.0,28.0
79,79,4,57.0,73.0
80,80,7,48.0,4.0
81,81,0,18.0,70.0
82,82,5,57.0,31.0
83,83,6,29.0,25.0
84,84,4,50.0,12.0
85,85,2,28.0,100.0
86,86,3,64.0,26.0
87,87,4,59.0,107.0
88,88,4,34.0,60.0
89,89,4,67.0,53.0
90,90,7,49.0,15.0
91,91,5,47.0,27.0
92,92,7,56.0,16.0
93,93,4,72.0,92.0
