mode,k,scope,n_obs,metric_sample_size,n_clusters_observed,silhouette,calinski_harabasz,davies_bouldin,section_ARI_diagnostic,section_NMI_diagnostic
independent,5,Human_Lymph_Node_A1,3484,3484,5,0.08508664260431056,274.09890641311824,2.749088257809448,,
independent,5,Human_Lymph_Node_D1,3359,3359,5,0.06872712779809813,238.9405249158367,3.01020822365551,,
joint,5,combined,6843,6843,5,0.06908793987850458,509.160264289185,2.807423158366602,8.72361002911257e-05,0.0005072327562310137
independent,8,Human_Lymph_Node_A1,3484,3484,8,0.08460686270463363,210.4592482038158,2.8911091807330527,,
independent,8,Human_Lymph_Node_D1,3359,3359,8,0.060181064195454215,163.59826121518282,3.248985604497088,,
joint,8,combined,6843,6843,8,0.07605051496074373,384.3135211770213,3.145272726635596,0.0001659911941034569,0.0007480769651570296
independent,10,Human_Lymph_Node_A1,3484,3484,10,0.0756230617894015,178.4023894970931,3.0324050000289104,,
independent,10,Human_Lymph_Node_D1,3359,3359,10,0.07147377048898923,158.3822427060347,3.1915704439116466,,
joint,10,combined,6843,6843,10,0.07265018201077403,325.57828203196567,3.0325253693451075,3.556459293981831e-05,0.0005144598327948778
independent,12,Human_Lymph_Node_A1,3484,3484,12,0.0638921760248107,154.4504918370654,3.1318416650431335,,
independent,12,Human_Lymph_Node_D1,3359,3359,12,0.06832765776595713,140.32726257561146,3.0675056728424717,,
joint,12,combined,6843,6843,12,0.06827907206770793,293.58935089206636,3.161007830581813,0.00036086051966934896,0.0011271464724898804
