mode,k,section_ARI_diagnostic,section_NMI_diagnostic
joint,2,7.808218462561322e-05,0.0002149963238639259
joint,3,0.00024516442460199904,0.00045446240283228905
joint,4,0.0001500919779400371,0.0006025128780971913
joint,5,-2.2641455531959812e-05,0.0006647542540188712
joint,6,0.00017130656252285398,0.0006980261033584063
joint,7,-2.380786998327009e-05,0.0004673783034860122
joint,8,-2.991123310947609e-05,0.0005114770531786402
joint,9,-5.419994326447916e-05,0.0004627442884458723
joint,10,-4.123707644769089e-05,0.00045583167113411423
joint,11,-0.0001129896778031486,0.00033146964389218223
joint,12,-4.854224728142361e-05,0.00047364584968842663
