mode,scope,k,n_obs,raw_vs_standardized_ari,raw_vs_standardized_nmi
joint,combined,2,6843,0.9480686394086013,0.8988863209720002
joint,combined,3,6843,0.9573035683705444,0.9269583274943284
joint,combined,4,6843,0.9322140022376249,0.9117391530588987
joint,combined,5,6843,0.9250104790786807,0.9053054026820685
joint,combined,6,6843,0.9065095752623276,0.889402649684683
joint,combined,7,6843,0.8892322011999082,0.8763357972665979
joint,combined,8,6843,0.8939310220477811,0.8745302599909154
joint,combined,9,6843,0.8692682002045946,0.8636383387302042
joint,combined,10,6843,0.8574400059880485,0.860827531043343
joint,combined,11,6843,0.8198437731609965,0.8416381612587035
joint,combined,12,6843,0.715247878447214,0.7671659996880367
independent,Human_Lymph_Node_A1,5,3484,0.9476776531258799,0.9237911406885568
independent,Human_Lymph_Node_D1,5,3359,0.8994514837357559,0.8866531388470097
independent,Human_Lymph_Node_A1,8,3484,0.6989567141241438,0.7450927840069249
independent,Human_Lymph_Node_D1,8,3359,0.8781459010347312,0.8704797133845953
independent,Human_Lymph_Node_A1,10,3484,0.6043891235425587,0.7024987693896213
independent,Human_Lymph_Node_D1,10,3359,0.8425137729699345,0.851353604185509
independent,Human_Lymph_Node_A1,12,3484,0.6680483569998565,0.7502968900875489
independent,Human_Lymph_Node_D1,12,3359,0.804559727406618,0.8373738322218379
