section,cluster,count,fraction
Human_Lymph_Node_A1,0,437,0.1254305396096441
Human_Lymph_Node_A1,1,435,0.12485648679678531
Human_Lymph_Node_A1,2,331,0.09500574052812859
Human_Lymph_Node_A1,3,351,0.10074626865671642
Human_Lymph_Node_A1,4,146,0.04190585533869116
Human_Lymph_Node_A1,5,675,0.19374282433983928
Human_Lymph_Node_A1,6,198,0.05683122847301952
Human_Lymph_Node_A1,7,169,0.048507462686567165
Human_Lymph_Node_A1,8,148,0.04247990815154994
Human_Lymph_Node_A1,9,594,0.17049368541905854
Human_Lymph_Node_D1,0,366,0.10896100029770765
Human_Lymph_Node_D1,1,391,0.11640369157487347
Human_Lymph_Node_D1,2,178,0.05299196189342066
Human_Lymph_Node_D1,3,306,0.09109854123250967
Human_Lymph_Node_D1,4,378,0.11253349211074724
Human_Lymph_Node_D1,5,479,0.14260196487049717
Human_Lymph_Node_D1,6,183,0.054480500148853826
Human_Lymph_Node_D1,7,212,0.06311402203036617
Human_Lymph_Node_D1,8,505,0.15034236379874963
Human_Lymph_Node_D1,9,361,0.10747246204227448
