section,cluster,count,fraction
Human_Lymph_Node_A1,0,159,0.04563719862227325
Human_Lymph_Node_A1,1,384,0.11021814006888633
Human_Lymph_Node_A1,2,335,0.09615384615384616
Human_Lymph_Node_A1,3,78,0.022388059701492536
Human_Lymph_Node_A1,4,143,0.041044776119402986
Human_Lymph_Node_A1,5,493,0.14150401836969
Human_Lymph_Node_A1,6,113,0.03243398392652124
Human_Lymph_Node_A1,7,366,0.10505166475315729
Human_Lymph_Node_A1,8,366,0.10505166475315729
Human_Lymph_Node_A1,9,366,0.10505166475315729
Human_Lymph_Node_A1,10,495,0.14207807118254878
Human_Lymph_Node_A1,11,186,0.053386911595866816
Human_Lymph_Node_D1,0,124,0.03691574873474248
Human_Lymph_Node_D1,1,363,0.10806787734444775
Human_Lymph_Node_D1,2,288,0.08573980351295028
Human_Lymph_Node_D1,3,74,0.022030366180410838
Human_Lymph_Node_D1,4,153,0.045549270616254835
Human_Lymph_Node_D1,5,517,0.15391485561178922
Human_Lymph_Node_D1,6,101,0.030068472759749925
Human_Lymph_Node_D1,7,373,0.11104495385531409
Human_Lymph_Node_D1,8,356,0.10598392378684132
Human_Lymph_Node_D1,9,379,0.11283119976183388
Human_Lymph_Node_D1,10,476,0.14170884191723726
Human_Lymph_Node_D1,11,155,0.0461446859184281
