mode,scope,k,n_obs,embedding_dim,cluster_asw,cluster_asw_scaled,calinski_harabasz,davies_bouldin,section_ari,section_nmi,section_asw,metric_space,labels_path
joint,combined,2,6843,128,0.10777208209037781,0.5538860410451889,851.0604884267905,2.7888572674291203,6.11117670459607e-05,0.00019704166577855472,0.00108545389957726,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_all.csv
joint,combined,3,6843,128,0.12115855515003204,0.560579277575016,753.4292743547843,2.4352810888812253,0.0002333782855552074,0.0004396989447933719,0.00108545389957726,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_all.csv
joint,combined,4,6843,128,0.09650145471096039,0.5482507273554802,639.055069857514,2.7168434797754575,7.866204816779251e-05,0.000532842249934832,0.00108545389957726,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_all.csv
joint,combined,5,6843,128,0.10152938216924667,0.5507646910846233,564.4859132794235,2.480300042377268,-4.8064353574530507e-05,0.000480566348774777,0.00108545389957726,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_all.csv
joint,combined,6,6843,128,0.08447107672691345,0.5422355383634567,518.3064399511233,2.5702158529594095,0.00012384134086217073,0.0006044686762049873,0.00108545389957726,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_all.csv
joint,combined,7,6843,128,0.08462263643741608,0.542311318218708,469.79144006274146,2.648928445352896,-5.069417116719018e-06,0.00047592638403491666,0.00108545389957726,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_all.csv
joint,combined,8,6843,128,0.08602331578731537,0.5430116578936577,430.2130528074532,2.6815417523917295,-1.518646761210373e-05,0.0005107306289869936,0.00108545389957726,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_all.csv
joint,combined,9,6843,128,0.0838196873664856,0.5419098436832428,399.3285811899516,2.76218223567127,-3.288981377264465e-05,0.00046300358270446706,0.00108545389957726,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_all.csv
joint,combined,10,6843,128,0.0848570242524147,0.5424285121262074,371.87238509562667,2.8937247304891325,-3.754692836051586e-05,0.0004636931550774032,0.00108545389957726,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_all.csv
joint,combined,11,6843,128,0.08691833168268204,0.543459165841341,348.8518996092367,2.7373582412069335,-7.745254605228762e-05,0.0004122880159817417,0.00108545389957726,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_all.csv
joint,combined,12,6843,128,0.08509799093008041,0.5425489954650402,326.46497511748566,2.7660750516820194,-6.008886449221234e-05,0.0005529386837876793,0.00108545389957726,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_all.csv
independent,Human_Lymph_Node_A1,5,3484,128,0.10585976392030716,0.5529298819601536,308.7096188665092,2.406604958320075,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_Human_Lymph_Node_A1.csv
independent,Human_Lymph_Node_D1,5,3359,128,0.09557278454303741,0.5477863922715187,258.55987331674265,2.553279685900235,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_Human_Lymph_Node_D1.csv
independent,Human_Lymph_Node_A1,8,3484,128,0.08858655393123627,0.5442932769656181,232.63729876239154,2.687441822711298,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_Human_Lymph_Node_A1.csv
independent,Human_Lymph_Node_D1,8,3359,128,0.08145100623369217,0.5407255031168461,199.76173668329352,2.720205533327455,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_Human_Lymph_Node_D1.csv
independent,Human_Lymph_Node_A1,10,3484,128,0.09363828599452972,0.5468191429972649,201.9465830452145,2.6507023400426672,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_Human_Lymph_Node_A1.csv
independent,Human_Lymph_Node_D1,10,3359,128,0.07948022335767746,0.5397401116788387,173.7707914654898,2.883714367920214,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_Human_Lymph_Node_D1.csv
independent,Human_Lymph_Node_A1,12,3484,128,0.08427265286445618,0.5421363264322281,178.9475802484624,2.725314651892077,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/independent_k12/labels_Human_Lymph_Node_A1.csv
independent,Human_Lymph_Node_D1,12,3359,128,0.07656583935022354,0.5382829196751118,152.92325986916342,2.8272638051454604,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/independent_k12/labels_Human_Lymph_Node_D1.csv
