mode,k,section,n_obs,spatial_neighbor_k,neighbor_same_cluster_fraction,labels_path
joint,2,Human_Lymph_Node_A1,3484,6,0.8004688097971681,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_Human_Lymph_Node_A1.csv
joint,2,Human_Lymph_Node_D1,3359,6,0.7827726505904535,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_Human_Lymph_Node_D1.csv
joint,3,Human_Lymph_Node_A1,3484,6,0.7873134328358209,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_Human_Lymph_Node_A1.csv
joint,3,Human_Lymph_Node_D1,3359,6,0.7771658231616553,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_Human_Lymph_Node_D1.csv
joint,4,Human_Lymph_Node_A1,3484,6,0.7190011481056258,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_Human_Lymph_Node_A1.csv
joint,4,Human_Lymph_Node_D1,3359,6,0.7211967847573683,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_Human_Lymph_Node_D1.csv
joint,5,Human_Lymph_Node_A1,3484,6,0.7030711825487945,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_Human_Lymph_Node_A1.csv
joint,5,Human_Lymph_Node_D1,3359,6,0.7076014686910786,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_Human_Lymph_Node_D1.csv
joint,6,Human_Lymph_Node_A1,3484,6,0.6165805587447378,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_Human_Lymph_Node_A1.csv
joint,6,Human_Lymph_Node_D1,3359,6,0.6016671628460851,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_Human_Lymph_Node_D1.csv
joint,7,Human_Lymph_Node_A1,3484,6,0.5860600841944126,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_Human_Lymph_Node_A1.csv
joint,7,Human_Lymph_Node_D1,3359,6,0.5772551354569813,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_Human_Lymph_Node_D1.csv
joint,8,Human_Lymph_Node_A1,3484,6,0.5764446995790279,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_Human_Lymph_Node_A1.csv
joint,8,Human_Lymph_Node_D1,3359,6,0.573384935992855,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_Human_Lymph_Node_D1.csv
joint,9,Human_Lymph_Node_A1,3484,6,0.5371699196326062,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_Human_Lymph_Node_A1.csv
joint,9,Human_Lymph_Node_D1,3359,6,0.5406867123151732,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_Human_Lymph_Node_D1.csv
joint,10,Human_Lymph_Node_A1,3484,6,0.4765595101415997,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_Human_Lymph_Node_A1.csv
joint,10,Human_Lymph_Node_D1,3359,6,0.48144288974893323,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_Human_Lymph_Node_D1.csv
joint,11,Human_Lymph_Node_A1,3484,6,0.4730673555300421,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_Human_Lymph_Node_A1.csv
joint,11,Human_Lymph_Node_D1,3359,6,0.47930931824947903,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_Human_Lymph_Node_D1.csv
