section,cluster,count,fraction
Human_Lymph_Node_A1,0,295,0.0846727898966705
Human_Lymph_Node_A1,1,407,0.11681974741676235
Human_Lymph_Node_A1,2,399,0.1145235361653272
Human_Lymph_Node_A1,3,253,0.07261768082663606
Human_Lymph_Node_A1,4,517,0.1483926521239954
Human_Lymph_Node_A1,5,186,0.053386911595866816
Human_Lymph_Node_A1,6,432,0.12399540757749714
Human_Lymph_Node_A1,7,179,0.05137772675086108
Human_Lymph_Node_A1,8,344,0.09873708381171067
Human_Lymph_Node_A1,9,472,0.1354764638346728
Human_Lymph_Node_D1,0,394,0.11729681452813337
Human_Lymph_Node_D1,1,506,0.15064007144983627
Human_Lymph_Node_D1,2,383,0.11402203036618042
Human_Lymph_Node_D1,3,188,0.05596903840428699
Human_Lymph_Node_D1,4,294,0.08752604941947008
Human_Lymph_Node_D1,5,203,0.06043465317058649
Human_Lymph_Node_D1,6,482,0.14349508782375708
Human_Lymph_Node_D1,7,378,0.11253349211074724
Human_Lymph_Node_D1,8,362,0.10777016969336112
Human_Lymph_Node_D1,9,169,0.05031259303364097
