mode,scope,k,n_obs,embedding_dim,cluster_asw,cluster_asw_scaled,calinski_harabasz,davies_bouldin,section_ari,section_nmi,section_asw,metric_space,labels_path
joint,combined,2,6843,128,0.09981189668178558,0.5499059483408928,772.3734651734553,2.9229440714797406,7.808218462561322e-05,0.0002149963238639259,0.001093221129849553,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_all.csv
joint,combined,3,6843,128,0.11322782188653946,0.5566139109432697,698.0440416501895,2.5407154350266477,0.00024516442460199904,0.00045446240283228905,0.001093221129849553,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_all.csv
joint,combined,4,6843,128,0.09226858615875244,0.5461342930793762,594.7265345511695,2.811937131221076,0.0001500919779400371,0.0006025128780971913,0.001093221129849553,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_all.csv
joint,combined,5,6843,128,0.0977829173207283,0.5488914586603642,527.4998057314723,2.542943747196258,-2.2641455531959812e-05,0.0006647542540188712,0.001093221129849553,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_all.csv
joint,combined,6,6843,128,0.08100447803735733,0.5405022390186787,483.5090960783195,2.6308717221059044,0.00017130656252285398,0.0006980261033584063,0.001093221129849553,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_all.csv
joint,combined,7,6843,128,0.08003555983304977,0.5400177799165249,438.28103808100155,2.6691337438363587,-2.380786998327009e-05,0.0004673783034860122,0.001093221129849553,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_all.csv
joint,combined,8,6843,128,0.08203663676977158,0.5410183183848858,401.9315496537599,2.748174917614237,-2.991123310947609e-05,0.0005114770531786402,0.001093221129849553,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_all.csv
joint,combined,9,6843,128,0.07990660518407822,0.5399533025920391,373.84179889831495,2.8302843621230585,-5.419994326447916e-05,0.0004627442884458723,0.001093221129849553,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_all.csv
joint,combined,10,6843,128,0.08098256587982178,0.5404912829399109,349.24615417603457,2.923785413239301,-4.123707644769089e-05,0.00045583167113411423,0.001093221129849553,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_all.csv
joint,combined,11,6843,128,0.08363393694162369,0.5418169684708118,327.77206476475885,2.7621241155296707,-0.00011512282482567393,0.00032837398421179027,0.001093221129849553,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_all.csv
joint,combined,12,6843,128,0.08006979525089264,0.5400348976254463,308.1396685556244,2.8133588720984193,-4.854224728142361e-05,0.00047364584968842663,0.001093221129849553,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k12/labels_all.csv
independent,Human_Lymph_Node_A1,5,3484,128,0.10058010369539261,0.5502900518476963,286.6151786090397,2.4832985026885295,,,,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_Human_Lymph_Node_A1.csv
independent,Human_Lymph_Node_D1,5,3359,128,0.09384523332118988,0.5469226166605949,242.8901645615837,2.6249828145291643,,,,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_Human_Lymph_Node_D1.csv
independent,Human_Lymph_Node_A1,8,3484,128,0.08825662732124329,0.5441283136606216,217.16528940327802,2.7258661986615564,,,,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/independent_k8/labels_Human_Lymph_Node_A1.csv
independent,Human_Lymph_Node_D1,8,3359,128,0.07672466337680817,0.5383623316884041,187.43093211910346,2.7489061869604194,,,,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/independent_k8/labels_Human_Lymph_Node_D1.csv
independent,Human_Lymph_Node_A1,10,3484,128,0.08536792546510696,0.5426839627325535,188.61090005845145,2.8594455848565565,,,,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/independent_k10/labels_Human_Lymph_Node_A1.csv
independent,Human_Lymph_Node_D1,10,3359,128,0.07627328485250473,0.5381366424262524,163.74651152623534,2.9291041558250677,,,,standardized_embedding,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/independent_k10/labels_Human_Lymph_Node_D1.csv
