mode,k,section,n_obs,spatial_neighbor_k,neighbor_same_cluster_fraction,labels_path
joint,2,Human_Lymph_Node_A1,3484,6,0.7965461155759663,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_Human_Lymph_Node_A1.csv
joint,2,Human_Lymph_Node_D1,3359,6,0.7813833482187159,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_Human_Lymph_Node_D1.csv
joint,3,Human_Lymph_Node_A1,3484,6,0.7850650593187907,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_Human_Lymph_Node_A1.csv
joint,3,Human_Lymph_Node_D1,3359,6,0.7720055572094869,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_Human_Lymph_Node_D1.csv
joint,4,Human_Lymph_Node_A1,3484,6,0.7209624952162266,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_Human_Lymph_Node_A1.csv
joint,4,Human_Lymph_Node_D1,3359,6,0.7220899077106282,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_Human_Lymph_Node_D1.csv
joint,5,Human_Lymph_Node_A1,3484,6,0.7078071182548794,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_Human_Lymph_Node_A1.csv
joint,5,Human_Lymph_Node_D1,3359,6,0.7107770169693362,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_Human_Lymph_Node_D1.csv
joint,6,Human_Lymph_Node_A1,3484,6,0.6149062380405664,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_Human_Lymph_Node_A1.csv
joint,6,Human_Lymph_Node_D1,3359,6,0.6036518805199961,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k6/labels_Human_Lymph_Node_D1.csv
joint,7,Human_Lymph_Node_A1,3484,6,0.5823765786452354,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_Human_Lymph_Node_A1.csv
joint,7,Human_Lymph_Node_D1,3359,6,0.5727895206906818,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k7/labels_Human_Lymph_Node_D1.csv
joint,8,Human_Lymph_Node_A1,3484,6,0.5651549942594719,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_Human_Lymph_Node_A1.csv
joint,8,Human_Lymph_Node_D1,3359,6,0.5543812642651583,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k8/labels_Human_Lymph_Node_D1.csv
joint,9,Human_Lymph_Node_A1,3484,6,0.5212877918101799,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_Human_Lymph_Node_A1.csv
joint,9,Human_Lymph_Node_D1,3359,6,0.5237173762032351,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k9/labels_Human_Lymph_Node_D1.csv
joint,10,Human_Lymph_Node_A1,3484,6,0.4677573670110984,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_Human_Lymph_Node_A1.csv
joint,10,Human_Lymph_Node_D1,3359,6,0.469286493996229,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k10/labels_Human_Lymph_Node_D1.csv
joint,11,Human_Lymph_Node_A1,3484,6,0.4664657481821661,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_Human_Lymph_Node_A1.csv
joint,11,Human_Lymph_Node_D1,3359,6,0.4653170586484073,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k11/labels_Human_Lymph_Node_D1.csv
joint,12,Human_Lymph_Node_A1,3484,6,0.44192499043245315,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k12/labels_Human_Lymph_Node_A1.csv
joint,12,Human_Lymph_Node_D1,3359,6,0.4474049816413615,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/joint_k12/labels_Human_Lymph_Node_D1.csv
independent,5,Human_Lymph_Node_A1,3484,6,0.7074722541140451,/home/hujinlan/spa_mo_model/results/human_lymph_node_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_Human_Lymph_Node_A1.csv
