section,cluster,count,fraction
dataset4,0,149,0.11797307996832937
dataset4,1,173,0.1369754552652415
dataset4,2,120,0.09501187648456057
dataset4,3,166,0.13143309580364212
dataset4,4,160,0.12668250197941408
dataset4,5,330,0.26128266033254155
dataset4,6,119,0.09422011084718923
dataset4,7,46,0.03642121931908155
dataset3,0,237,0.13337084974676422
dataset3,1,394,0.2217220033764772
dataset3,2,208,0.11705120990433314
dataset3,3,284,0.1598199212155318
dataset3,4,106,0.05965109735509285
dataset3,5,90,0.050647158131682614
dataset3,6,388,0.21834552616769837
dataset3,7,70,0.03939223410241981
dataset2,0,147,0.07542329399692149
dataset2,1,64,0.032837352488455616
dataset2,2,472,0.2421754746023602
dataset2,3,312,0.16008209338122115
dataset2,4,670,0.3437660338635197
dataset2,5,59,0.030271934325295024
dataset2,6,126,0.064648537711647
dataset2,7,99,0.05079527963057978
dataset1,0,235,0.1103804603100047
dataset1,1,181,0.0850164396430249
dataset1,2,128,0.060122123062470646
dataset1,3,176,0.08266791921089714
dataset1,4,218,0.10239549084077032
dataset1,5,416,0.19539689995302958
dataset1,6,133,0.0624706434945984
dataset1,7,642,0.3015500234852043
