section,cluster,count,fraction
dataset4,2,562,0.444972288202692
dataset4,3,349,0.276326207442597
dataset4,6,2,0.001583531274742676
dataset4,7,326,0.2581155977830562
dataset4,8,21,0.0166270783847981
dataset4,9,3,0.0023752969121140144
dataset3,0,167,0.0939786156443444
dataset3,1,634,0.35678109172763084
dataset3,2,23,0.012943162633652222
dataset3,4,98,0.05514912774338773
dataset3,5,41,0.023072594259988744
dataset3,6,4,0.0022509848058525606
dataset3,7,230,0.12943162633652222
dataset3,8,65,0.03657850309510411
dataset3,9,515,0.28981429375351714
dataset2,0,791,0.40584915341200617
dataset2,1,318,0.16316059517701384
dataset2,2,1,0.000513083632632119
dataset2,4,155,0.07952796305797845
dataset2,5,120,0.06157003591585428
dataset2,6,66,0.03386351975371986
dataset2,7,110,0.05643919958953309
dataset2,8,143,0.07337095946639302
dataset2,9,245,0.12570548999486916
dataset1,0,41,0.01925786754344763
dataset1,1,8,0.0037576326914044154
dataset1,2,5,0.0023485204321277596
dataset1,3,4,0.0018788163457022077
dataset1,4,102,0.04790981681540629
dataset1,5,306,0.14372945044621888
dataset1,6,886,0.41615782057303896
dataset1,7,215,0.10098637858149366
dataset1,8,376,0.17660873649600753
dataset1,9,186,0.08736496007515265
