mode,k,scope,n_obs,metric_sample_size,n_clusters_observed,silhouette,calinski_harabasz,davies_bouldin,section_ARI_diagnostic,section_NMI_diagnostic
independent,8,dataset4,1263,1263,8,0.1134072949159055,75.74164546790547,2.9365004151329197,,
independent,8,dataset3,1777,1777,8,0.09506687962513263,94.95789474580108,2.6319260473090673,,
independent,8,dataset2,1949,1949,8,0.15540549776208407,143.24878424253438,1.9452992148525525,,
independent,8,dataset1,2129,2129,8,0.08604614281393543,105.61229404334483,2.972859541101423,,
joint,8,combined,7118,7118,8,0.09548723011203002,401.0717824993692,2.801605517588586,0.2753905226218577,0.3699704661055749
independent,10,dataset4,1263,1263,10,0.08292123302949128,63.9315987697471,3.059821725501553,,
independent,10,dataset3,1777,1777,10,0.08890849668668532,84.91196690164999,2.774656038690479,,
independent,10,dataset2,1949,1949,10,0.1602490625150362,129.3010995318517,2.2163299700546895,,
independent,10,dataset1,2129,2129,10,0.0804189232607503,91.70550924597039,3.054383865614136,,
joint,10,combined,7118,7118,10,0.09399797396862766,356.87322043968084,2.695764750449632,0.2283504186472726,0.35345690218605974
independent,12,dataset4,1263,1263,12,0.07221351464631769,56.4534862225384,3.0414036259559385,,
independent,12,dataset3,1777,1777,12,0.0804304751511167,76.71970840760754,2.7533815151471175,,
independent,12,dataset2,1949,1949,12,0.15753544380729959,118.5679781718859,2.2304405975975308,,
independent,12,dataset1,2129,2129,12,0.08863675202688756,82.31811224094906,3.0038132275668126,,
joint,12,combined,7118,7118,12,0.10214161935409272,329.74662963910515,2.5280651860670327,0.19902399581863817,0.33735491438416126
independent,14,dataset4,1263,1263,14,0.06628952867877719,50.78451415917366,2.91798456827717,,
independent,14,dataset3,1777,1777,14,0.0827505083626311,70.56386150915706,2.675643277713514,,
independent,14,dataset2,1949,1949,14,0.16425263097814016,110.6214848099926,2.1237546247550747,,
independent,14,dataset1,2129,2129,14,0.09066785344944966,75.11776877116795,2.9867994146042642,,
joint,14,combined,7118,7118,14,0.0990402632130481,299.1608764042863,2.553292993732435,0.1883158586525645,0.32803004001700437
independent,16,dataset4,1263,1263,16,0.06045710409258766,46.154213619495685,2.9632442996707047,,
independent,16,dataset3,1777,1777,16,0.07965209513094568,64.78855367866505,2.6840511790876107,,
independent,16,dataset2,1949,1949,16,0.11235304330561864,102.59282146091732,2.3385998992830586,,
independent,16,dataset1,2129,2129,16,0.08300455173243024,69.35770904030554,2.9082412424160573,,
joint,16,combined,7118,7118,16,0.10062676031450968,275.25327599399833,2.6417260836447234,0.18344841751916602,0.33416340697258556
