section,neighbor_same_cluster_fraction,mode,k
dataset4,0.5537081024016891,independent,8
dataset3,0.5932282873757269,independent,8
dataset2,0.7133572772361895,independent,8
dataset1,0.6421637701581338,independent,8
dataset4,0.785827395091053,joint,8
dataset3,0.6918964546989308,joint,8
dataset2,0.6777834787070293,joint,8
dataset1,0.714263347424456,joint,8
dataset4,0.47070467141726047,independent,10
dataset3,0.5467079347214406,independent,10
dataset2,0.6526423807080554,independent,10
dataset1,0.552058869578832,independent,10
dataset4,0.7396410662443916,joint,10
dataset3,0.6319639842431064,joint,10
dataset2,0.6500769625448948,joint,10
dataset1,0.6920306873336465,joint,10
dataset4,0.42504618632884666,independent,12
dataset3,0.5208216094541361,independent,12
dataset2,0.6158713870360869,independent,12
dataset1,0.5281822451855331,independent,12
dataset4,0.7337028239641066,joint,12
dataset3,0.6283061339335959,joint,12
dataset2,0.642295194116641,joint,12
dataset1,0.6808360732738374,joint,12
dataset4,0.42385853787278965,independent,14
dataset3,0.49587319452260364,independent,14
dataset2,0.5968017786899265,independent,14
dataset1,0.4963989353374041,independent,14
dataset4,0.6818421747162839,joint,14
dataset3,0.6087038079159632,joint,14
dataset2,0.6269881990764494,joint,14
dataset1,0.6581337090966025,joint,14
dataset4,0.38981261546582213,independent,16
dataset3,0.4588257362596136,independent,16
dataset2,0.5492560287326834,independent,16
dataset1,0.47228745890089247,independent,16
dataset4,0.6790709949854843,joint,16
dataset3,0.5714687675858188,joint,16
dataset2,0.6180947494441594,joint,16
dataset1,0.6324565523720056,joint,16
