mode,scope,k,n_obs,raw_vs_standardized_ari,raw_vs_standardized_nmi
joint,combined,2,7118,0.9577409695215853,0.9161447101851765
joint,combined,3,7118,0.9353362583298542,0.8903339692504629
joint,combined,4,7118,0.6361748249126874,0.6611892469380088
joint,combined,5,7118,0.9368784991725275,0.9108672124221258
joint,combined,6,7118,0.93548916019479,0.9141312447356235
joint,combined,7,7118,0.6450834089093502,0.7259691581451123
joint,combined,8,7118,0.741118799423218,0.7903878814789224
joint,combined,9,7118,0.8215540112705155,0.8374651559202401
joint,combined,10,7118,0.8101557114081334,0.8394697896124975
joint,combined,11,7118,0.8548257140735319,0.859761331116897
joint,combined,12,7118,0.9413710624350417,0.9372109101886328
joint,combined,13,7118,0.8333196861556141,0.8624795296978065
joint,combined,14,7118,0.7556245048188592,0.8277818960767986
joint,combined,15,7118,0.7532626801337994,0.8267159424779763
joint,combined,16,7118,0.7847324645353001,0.8389347103323409
independent,dataset1,2,2129,0.9681540436060018,0.929987234574333
independent,dataset2,2,1949,0.9312546906511107,0.8794035229992627
independent,dataset3,2,1777,0.9400837129152352,0.8860690217798959
independent,dataset4,2,1263,0.9249791690003346,0.8723814065500461
independent,dataset1,3,2129,0.9165451804006767,0.876580450093763
independent,dataset2,3,1949,0.7576383364048807,0.7248959321912877
independent,dataset3,3,1777,0.943074760186215,0.9081882948441897
independent,dataset4,3,1263,0.939802852619294,0.9087329749601385
independent,dataset1,4,2129,0.6127683962591917,0.7034655355863045
independent,dataset2,4,1949,0.9392349397976534,0.8926907161239592
independent,dataset3,4,1777,0.9030893177713372,0.8716773575471234
independent,dataset4,4,1263,0.9401355386790715,0.912132989327346
independent,dataset1,5,2129,0.9540056878864303,0.9317558141399483
independent,dataset2,5,1949,0.9401391308673606,0.896665349049517
independent,dataset3,5,1777,0.8857388957597888,0.8727061317534737
independent,dataset4,5,1263,0.8058877812383355,0.7975937429367923
independent,dataset1,6,2129,0.9353264113455021,0.9158656748366357
independent,dataset2,6,1949,0.8560616679226549,0.8037555630703258
independent,dataset3,6,1777,0.9103196661902099,0.8999331025796714
independent,dataset4,6,1263,0.8719191014070661,0.8544217816237559
independent,dataset1,7,2129,0.9227755473065107,0.9147376255884552
independent,dataset2,7,1949,0.9408696248514162,0.9178021526925618
independent,dataset3,7,1777,0.7865749465916848,0.7816020401800592
independent,dataset4,7,1263,0.6857874397338777,0.7234681342548883
independent,dataset1,8,2129,0.9076296131863147,0.8980687058317071
independent,dataset2,8,1949,0.8016956793439534,0.7880707764842892
independent,dataset3,8,1777,0.7177564711167403,0.733716803418983
independent,dataset4,8,1263,0.8596888084163395,0.8317482153026104
independent,dataset1,9,2129,0.8893403878383309,0.8865704894585947
independent,dataset2,9,1949,0.7848157440674239,0.7968232585545579
independent,dataset3,9,1777,0.8693029130198276,0.8771720809987666
independent,dataset4,9,1263,0.7751951879896282,0.76884637985819
independent,dataset1,10,2129,0.6236826621635642,0.7619801925259532
independent,dataset2,10,1949,0.9041703156563577,0.9027702663191853
independent,dataset3,10,1777,0.7116475259995809,0.7655725091874976
independent,dataset4,10,1263,0.6246552496919477,0.7163449247999909
independent,dataset1,11,2129,0.6212830310304829,0.7607017517845578
independent,dataset2,11,1949,0.8187739367936632,0.818130201370538
independent,dataset3,11,1777,0.690055552496989,0.7859821122078913
independent,dataset4,11,1263,0.639912784288109,0.6964570932362831
independent,dataset1,12,2129,0.7158764933741162,0.7902650963937556
independent,dataset2,12,1949,0.8835807608415166,0.870354939863934
independent,dataset3,12,1777,0.6560131330432967,0.7567471914969233
independent,dataset4,12,1263,0.6227832537074346,0.6968110005349734
independent,dataset1,13,2129,0.8598116959780402,0.8928894287997913
independent,dataset2,13,1949,0.9204213221616593,0.9120586243698543
independent,dataset3,13,1777,0.6153278373222014,0.7485454853973464
independent,dataset4,13,1263,0.584688920212391,0.6961754710033499
independent,dataset1,14,2129,0.6251879938466622,0.7511685290919065
independent,dataset2,14,1949,0.894688428115974,0.8964508272655839
independent,dataset3,14,1777,0.7394041061672653,0.7972327558739551
independent,dataset4,14,1263,0.5929769461485844,0.7064585271478173
independent,dataset1,15,2129,0.6216023943069643,0.7474797546743231
independent,dataset2,15,1949,0.6258042149591225,0.7751337253583727
independent,dataset3,15,1777,0.5803383158423001,0.7194365719875262
independent,dataset4,15,1263,0.5334719315391789,0.6405122662035614
independent,dataset1,16,2129,0.7048675466496896,0.8159399125152587
independent,dataset2,16,1949,0.8679390421465467,0.8891482345330038
independent,dataset3,16,1777,0.6920956960362084,0.7828003645384374
independent,dataset4,16,1263,0.5084193621855312,0.647832526245672
