section,cluster,count,fraction
dataset1,0,301,0.14138093001409113
dataset1,1,179,0.08407703147017379
dataset1,2,279,0.13104744011272898
dataset1,3,122,0.057303898543917334
dataset1,4,165,0.07750117426021606
dataset1,5,361,0.16956317519962424
dataset1,6,76,0.035697510568341945
dataset1,7,186,0.08736496007515265
dataset1,8,151,0.07092531705025834
dataset1,9,309,0.14513856270549555
dataset2,0,61,0.03129810159055926
dataset2,1,114,0.05849153412006157
dataset2,2,259,0.13288866085171883
dataset2,3,156,0.08004104669061057
dataset2,4,349,0.17906618778860955
dataset2,5,639,0.32786044125192404
dataset2,6,93,0.04771677783478707
dataset2,7,57,0.029245767060030785
dataset2,8,120,0.06157003591585428
dataset2,9,101,0.051821446895844024
dataset3,0,340,0.19133370849746764
dataset3,1,225,0.12661789532920653
dataset3,2,204,0.11480022509848059
dataset3,3,87,0.04895891952729319
dataset3,4,98,0.05514912774338773
dataset3,5,170,0.09566685424873382
dataset3,6,220,0.12380416432189083
dataset3,7,280,0.15756893640967923
dataset3,8,96,0.05402363534046145
dataset3,9,57,0.032076533483398985
dataset4,0,77,0.06096595407759303
dataset4,1,151,0.11955661124307206
dataset4,2,109,0.08630245447347586
dataset4,3,38,0.030087094220110848
dataset4,4,133,0.10530482977038796
dataset4,5,146,0.11559778305621536
dataset4,6,116,0.09184481393507522
dataset4,7,213,0.16864608076009502
dataset4,8,164,0.12984956452889945
dataset4,9,116,0.09184481393507522
