section,cluster,count,fraction
dataset1,0,464,0.21794269610145608
dataset1,1,383,0.17989666510098637
dataset1,2,957,0.4495068107092532
dataset1,3,7,0.0032879286049788633
dataset1,4,318,0.14936589948332551
dataset2,0,223,0.11441765007696254
dataset2,1,161,0.08260646485377117
dataset2,2,1027,0.5269368907131863
dataset2,3,1,0.000513083632632119
dataset2,4,537,0.2755259107234479
dataset3,0,462,0.25998874507597075
dataset3,1,71,0.03995498030388295
dataset3,2,271,0.15250422059651098
dataset3,3,7,0.0039392234102419805
dataset3,4,966,0.5436128306133934
dataset4,0,300,0.2375296912114014
dataset4,2,8,0.006334125098970704
dataset4,3,938,0.7426761678543151
dataset4,4,17,0.013460015835312747
