mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled
joint,combined,Y,7118,14,2,0.12773245057025093,0.19002522436585614,0.12377451537377694,0.4088790630197324,0.19002522436585617,-0.009248405694961548,0.4953757971525192
joint,combined,Combined_Clusters_annotation,7118,16,2,0.1635801535190003,0.24905091991477069,0.16370633762607537,0.5202948020512685,0.24905091991477069,0.00605687266215682,0.5030284363310784
joint,combined,Combined_Clusters,7118,16,2,0.1635801535190003,0.24905091991477066,0.16370633762607534,0.5202948020512684,0.2490509199147706,0.00605687266215682,0.5030284363310784
joint,combined,RNA_Clusters,7118,13,2,0.13466353899706376,0.23279139633708956,0.15216874756990348,0.4951153985815718,0.2327913963370896,0.02878217212855816,0.5143910860642791
joint,combined,ATAC_Clusters,7118,13,2,0.16074145535135947,0.242813886875648,0.16211600113181293,0.4834798272101115,0.242813886875648,0.025749409571290016,0.512874704785645
joint,combined,Y,7118,14,3,0.18202687267000253,0.2554316477884628,0.18799516314572157,0.398311551643173,0.2554316477884628,-0.009248405694961548,0.4953757971525192
joint,combined,Combined_Clusters_annotation,7118,16,3,0.18693785398391444,0.28437890818299844,0.21194372511246745,0.43203322364019175,0.28437890818299844,0.00605687266215682,0.5030284363310784
joint,combined,Combined_Clusters,7118,16,3,0.18693785398391444,0.2843789081829984,0.21194372511246742,0.4320332236401917,0.2843789081829984,0.00605687266215682,0.5030284363310784
joint,combined,RNA_Clusters,7118,13,3,0.17987614404053678,0.291320648259333,0.21545908562961658,0.44963319656487,0.29132064825933307,0.02878217212855816,0.5143910860642791
joint,combined,ATAC_Clusters,7118,13,3,0.1802328498871682,0.2727139582191509,0.20764430231271472,0.39717790654019614,0.2727139582191509,0.025749409571290016,0.512874704785645
joint,combined,Y,7118,14,4,0.20357167880094937,0.285620058825788,0.22383808935467564,0.3945093113106115,0.285620058825788,-0.009248405694961548,0.4953757971525192
joint,combined,Combined_Clusters_annotation,7118,16,4,0.25821458322111707,0.3598941645968846,0.2860680459823937,0.4850795585183063,0.3598941645968846,0.00605687266215682,0.5030284363310784
