mode,k,section,plot_n_obs,point_size,dpi,figure_path,figure_sha256,labels_path,labels_sha256
joint,5,dataset1,2129,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k5/spatial_dataset1.png,8a1c186e7a009b2299fff4c1582ea0a7fd123c6a134036cf375b648d2f14fdc0,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_dataset1.csv,940d98c09246e5e1fdc922dfb8085605ae5d1917f92708727e89654692d0f77c
joint,5,dataset2,1949,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k5/spatial_dataset2.png,78b93328ac4aa57e6c9f8c4dd91e585acaf2079ec9f682e6157f5f94544946b0,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_dataset2.csv,a3658d48a2786dee6e4117a63cd0b764fa1e66ed50191033e09b108f3c692c95
joint,5,dataset3,1777,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k5/spatial_dataset3.png,e1d51a875e494bb457d725a75f7a6649c61b8fef7c6017c7c63dafa1ea2dedfa,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_dataset3.csv,fbbd53f405b601753a033dda585630b6326cd401cc69d635c85653d383d88fde
joint,5,dataset4,1263,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k5/spatial_dataset4.png,2c57fd61e738c32f4775906edc409d127a0a4ae35e7460b32cd1e746ad176611,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_dataset4.csv,aee131c7ddcdfdad1ec425e40ca4deeca65d04e27f0f86b319d2c0b8ab20d1fd
joint,8,dataset1,2129,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k8/spatial_dataset1.png,674c6da4c570930275c516588a1911d68a0e003d8348756dff63a692bdfae10e,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_dataset1.csv,f80db729f810411c8b25ed9ff78788d08969bc7a9c40fc254d082391f601f75a
joint,8,dataset2,1949,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k8/spatial_dataset2.png,2a9c68b059aaa6c14ebdbc3e749c76cc02b76f634d17806138906d0a7055ecac,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_dataset2.csv,c070d7035af03c3c8b581fa86feaf302e686ad5d81037850108cbdb82552f31a
joint,8,dataset3,1777,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k8/spatial_dataset3.png,b91940fb9778d2850ca69b6cf183ff04db0aa9a8dfa482e17be9f30eae4c8aec,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_dataset3.csv,ace95fe145286867b4f5510d7e3e90ab5c5a185a3704958a1ab9e5e3a83028f2
joint,8,dataset4,1263,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k8/spatial_dataset4.png,29eeb57549a7d65113cea1f86e4763a7f332b157f00e7099399c18bce952cf22,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_dataset4.csv,505b82b09db0ba0aed874be4e25be536def4c7319cba549f7992513e88371190
joint,10,dataset1,2129,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k10/spatial_dataset1.png,929c47b310a2b2252f69d7e0d25cc33fb0a8996cd48f34cb7da3ab7b1b1dfbe0,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_dataset1.csv,f1660dfe6e5d5ca077db5d32a3cd47e31e009f4e8daa62ef2fcd19c493e15bb8
joint,10,dataset2,1949,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k10/spatial_dataset2.png,5ea9c4e2b2ae1db1b78672a79a0b992a3df1f46b1e78aa50b3af0762420e71f8,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_dataset2.csv,94b2c30d419ccfacc69b6756b14b6c2be6284967c0ba83629a66bcb53d761585
