mode,k,section,n_obs,spatial_neighbor_k,neighbor_same_cluster_fraction,labels_path
joint,2,dataset1,2129,6,0.8792077657742289,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_dataset1.csv
joint,2,dataset2,1949,6,0.8933641183512913,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_dataset2.csv
joint,2,dataset3,1777,6,0.8845432376664791,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_dataset3.csv
joint,2,dataset4,1263,6,0.9610715228292426,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k2/labels_dataset4.csv
joint,3,dataset1,2129,6,0.8165022702364177,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_dataset1.csv
joint,3,dataset2,1949,6,0.8566786386180948,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_dataset2.csv
joint,3,dataset3,1777,6,0.7598011630088164,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_dataset3.csv
joint,3,dataset4,1263,6,0.9621272103457377,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k3/labels_dataset4.csv
joint,4,dataset1,2129,6,0.7734460623140754,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_dataset1.csv
joint,4,dataset2,1949,6,0.8221310073541988,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_dataset2.csv
joint,4,dataset3,1777,6,0.7538923278934534,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_dataset3.csv
joint,4,dataset4,1263,6,0.9618632884666138,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k4/labels_dataset4.csv
joint,5,dataset1,2129,6,0.758180679505245,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_dataset1.csv
joint,5,dataset2,1949,6,0.7972464511715409,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_dataset2.csv
joint,5,dataset3,1777,6,0.7431063590320766,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_dataset3.csv
joint,5,dataset4,1263,6,0.8017946687780417,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k5/labels_dataset4.csv
joint,6,dataset1,2129,6,0.7345389071551589,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_dataset1.csv
joint,6,dataset2,1949,6,0.7553446211732512,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_dataset2.csv
joint,6,dataset3,1777,6,0.7418870755955731,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_dataset3.csv
joint,6,dataset4,1263,6,0.7901821060965954,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k6/labels_dataset4.csv
joint,7,dataset1,2129,6,0.6831845937059653,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_dataset1.csv
joint,7,dataset2,1949,6,0.7036942021549513,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_dataset2.csv
joint,7,dataset3,1777,6,0.6927405740011255,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_dataset3.csv
joint,7,dataset4,1263,6,0.7850356294536817,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k7/labels_dataset4.csv
joint,8,dataset1,2129,6,0.6975888523563488,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_dataset1.csv
joint,8,dataset2,1949,6,0.6707713357277236,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_dataset2.csv
joint,8,dataset3,1777,6,0.6630088163571562,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_dataset3.csv
joint,8,dataset4,1263,6,0.7823964106624439,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k8/labels_dataset4.csv
joint,9,dataset1,2129,6,0.687959918584625,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_dataset1.csv
joint,9,dataset2,1949,6,0.6512741576877031,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_dataset2.csv
joint,9,dataset3,1777,6,0.6402175951978991,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_dataset3.csv
joint,9,dataset4,1263,6,0.781076801266825,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k9/labels_dataset4.csv
joint,10,dataset1,2129,6,0.6926569594488805,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_dataset1.csv
joint,10,dataset2,1949,6,0.6497349067898067,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_dataset2.csv
joint,10,dataset3,1777,6,0.6343087600825361,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_dataset3.csv
joint,10,dataset4,1263,6,0.7383214568487728,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k10/labels_dataset4.csv
joint,11,dataset1,2129,6,0.6875684985126037,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_dataset1.csv
joint,11,dataset2,1949,6,0.6481956558919104,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_dataset2.csv
joint,11,dataset3,1777,6,0.628868880135059,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_dataset3.csv
joint,11,dataset4,1263,6,0.7364740036949063,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k11/labels_dataset4.csv
joint,12,dataset1,2129,6,0.6853765461092844,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_dataset1.csv
joint,12,dataset2,1949,6,0.6428937916880452,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_dataset2.csv
joint,12,dataset3,1777,6,0.6272744325642469,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_dataset3.csv
joint,12,dataset4,1263,6,0.7350224333597255,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_dataset4.csv
joint,13,dataset1,2129,6,0.674338500078284,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k13/labels_dataset1.csv
joint,13,dataset2,1949,6,0.6389601505045323,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k13/labels_dataset2.csv
joint,13,dataset3,1777,6,0.5750328268617521,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k13/labels_dataset3.csv
joint,13,dataset4,1263,6,0.7318553708102402,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k13/labels_dataset4.csv
joint,14,dataset1,2129,6,0.6465476749647722,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k14/labels_dataset1.csv
joint,14,dataset2,1949,6,0.6182657773217034,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k14/labels_dataset2.csv
joint,14,dataset3,1777,6,0.5743762896267117,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k14/labels_dataset3.csv
joint,14,dataset4,1263,6,0.7288202692003167,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k14/labels_dataset4.csv
joint,15,dataset1,2129,6,0.6396586816971974,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k15/labels_dataset1.csv
joint,15,dataset2,1949,6,0.6175816658115273,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k15/labels_dataset2.csv
joint,15,dataset3,1777,6,0.5819733633464641,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k15/labels_dataset3.csv
joint,15,dataset4,1263,6,0.6761678543151227,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k15/labels_dataset4.csv
joint,16,dataset1,2129,6,0.646782527007985,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k16/labels_dataset1.csv
joint,16,dataset2,1949,6,0.6258765178724132,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k16/labels_dataset2.csv
joint,16,dataset3,1777,6,0.5544925905083474,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k16/labels_dataset3.csv
joint,16,dataset4,1263,6,0.6847453153866455,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k16/labels_dataset4.csv
independent,2,dataset1,2129,6,0.8848442148113356,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k2/labels_dataset1.csv
independent,2,dataset2,1949,6,0.8882332820249701,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k2/labels_dataset2.csv
independent,2,dataset3,1777,6,0.8704745826299006,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k2/labels_dataset3.csv
independent,2,dataset4,1263,6,0.8854579044602797,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k2/labels_dataset4.csv
independent,3,dataset1,2129,6,0.8487552841709722,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k3/labels_dataset1.csv
independent,3,dataset2,1949,6,0.8183683940482298,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k3/labels_dataset2.csv
independent,3,dataset3,1777,6,0.7699305946351529,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k3/labels_dataset3.csv
independent,3,dataset4,1263,6,0.7796252309316443,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k3/labels_dataset4.csv
independent,4,dataset1,2129,6,0.8351338656646313,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k4/labels_dataset1.csv
independent,4,dataset2,1949,6,0.7806567470497691,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k4/labels_dataset2.csv
independent,4,dataset3,1777,6,0.7106546614143688,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k4/labels_dataset3.csv
independent,4,dataset4,1263,6,0.7371338083927158,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k4/labels_dataset4.csv
independent,5,dataset1,2129,6,0.7636605605135431,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_dataset1.csv
independent,5,dataset2,1949,6,0.745596032153241,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_dataset2.csv
independent,5,dataset3,1777,6,0.6533483398987057,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_dataset3.csv
independent,5,dataset4,1263,6,0.6451570335180786,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_dataset4.csv
independent,6,dataset1,2129,6,0.7418976045091592,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_dataset1.csv
independent,6,dataset2,1949,6,0.7547460236018471,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_dataset2.csv
independent,6,dataset3,1777,6,0.6590695929469143,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_dataset3.csv
independent,6,dataset4,1263,6,0.6353919239904988,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_dataset4.csv
