mode,k,mean_spatial_neighbor_agreement
independent,2,0.8822524959816215
independent,3,0.8041698759464998
independent,4,0.7658947706303713
independent,5,0.7019404915208921
independent,6,0.6977762862621049
independent,7,0.6536169584228355
independent,8,0.6256143592929349
independent,9,0.6057750541418505
independent,10,0.5555284641063971
independent,11,0.5357776958273294
independent,12,0.5224803570011507
independent,13,0.5096102409055905
independent,14,0.503233111605681
independent,15,0.4822430583510782
independent,16,0.46754545983975293
joint,2,0.9045466611553105
joint,3,0.8487773205522666
joint,4,0.8278331715070854
joint,5,0.7750820396217261
joint,6,0.7554881775051446
joint,7,0.7161637498289309
joint,8,0.7034413537759181
joint,9,0.690132118184263
joint,10,0.678755520792499
joint,11,0.6752767595586199
joint,12,0.6726418009303254
joint,13,0.6550467120637021
joint,14,0.642002502778376
joint,15,0.6288453912925779
joint,16,0.6279742376938477
