section,cluster,count,fraction
dataset1,0,188,0.08830436824800376
dataset1,1,236,0.11085016439643025
dataset1,2,84,0.03945514325974636
dataset1,3,294,0.13809300140911226
dataset1,4,59,0.027712541099107563
dataset1,5,142,0.06669798027242838
dataset1,6,119,0.055894786284640674
dataset1,7,193,0.09065288868013152
dataset1,8,183,0.085955847815876
dataset1,9,165,0.07750117426021606
dataset1,10,112,0.05260685767966181
dataset1,11,41,0.01925786754344763
dataset1,12,263,0.12353217472992015
dataset1,13,50,0.023485204321277594
dataset2,0,61,0.03129810159055926
dataset2,1,594,0.3047716777834787
dataset2,2,130,0.06670087224217547
dataset2,3,61,0.03129810159055926
dataset2,4,38,0.019497178040020522
dataset2,5,190,0.09748589020010262
dataset2,6,110,0.05643919958953309
dataset2,7,91,0.04669061056952283
dataset2,8,185,0.09492047203694202
dataset2,9,226,0.1159569009748589
dataset2,10,58,0.029758850692662903
dataset2,11,48,0.024628014366341714
dataset2,12,115,0.05900461775269369
dataset2,13,42,0.021549512570549
dataset3,0,167,0.0939786156443444
dataset3,1,170,0.09566685424873382
dataset3,2,179,0.10073157006190209
dataset3,3,189,0.10635903207653348
dataset3,4,159,0.08947664603263927
dataset3,5,163,0.09172763083849184
dataset3,6,160,0.09003939223410241
dataset3,7,42,0.023635340461451885
dataset3,8,172,0.0967923466516601
dataset3,9,55,0.030951041080472707
dataset3,10,88,0.04952166572875633
dataset3,11,90,0.050647158131682614
dataset3,12,82,0.04614518851997749
dataset3,13,61,0.03432751828925155
dataset4,0,93,0.07363420427553444
dataset4,1,138,0.10926365795724466
dataset4,2,105,0.0831353919239905
dataset4,3,106,0.08392715756136183
dataset4,4,72,0.057007125890736345
dataset4,5,85,0.06730007917656373
dataset4,6,31,0.02454473475851148
dataset4,7,93,0.07363420427553444
dataset4,8,64,0.050673000791765635
dataset4,9,42,0.0332541567695962
dataset4,10,87,0.0688836104513064
dataset4,11,154,0.12193190815518606
dataset4,12,71,0.056215360253365
dataset4,13,122,0.09659540775930324
