section,cluster,count,fraction
dataset1,0,419,0.19680601221230626
dataset1,1,362,0.1700328792860498
dataset1,2,994,0.4668858619069986
dataset1,3,347,0.1629873179896665
dataset1,4,7,0.0032879286049788633
dataset2,0,217,0.11133914828116984
dataset2,1,161,0.08260646485377117
dataset2,2,1033,0.530015392508979
dataset2,3,537,0.2755259107234479
dataset2,4,1,0.000513083632632119
dataset3,0,475,0.26730444569499157
dataset3,1,71,0.03995498030388295
dataset3,2,288,0.16207090602138435
dataset3,3,932,0.5244794597636466
dataset3,4,11,0.0061902082160945416
dataset4,0,306,0.24228028503562946
dataset4,2,7,0.0055423594615993665
dataset4,3,15,0.011876484560570071
dataset4,4,935,0.7403008709422011
