mode,k,section,n_obs,spatial_neighbor_k,neighbor_same_cluster_fraction,labels_path
joint,2,dataset1,2129,6,0.8858619069985909,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_dataset1.csv
joint,2,dataset2,1949,6,0.900974858902001,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_dataset2.csv
joint,2,dataset3,1777,6,0.8890452072781843,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_dataset3.csv
joint,2,dataset4,1263,6,0.9609395618896807,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k2/labels_dataset4.csv
joint,3,dataset1,2129,6,0.8272271802098011,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_dataset1.csv
joint,3,dataset2,1949,6,0.8583889173935352,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_dataset2.csv
joint,3,dataset3,1777,6,0.7527668354905271,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_dataset3.csv
joint,3,dataset4,1263,6,0.9633148588017947,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k3/labels_dataset4.csv
joint,4,dataset1,2129,6,0.8101612650696728,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_dataset1.csv
joint,4,dataset2,1949,6,0.8340174448435095,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_dataset2.csv
joint,4,dataset3,1777,6,0.7472331645094729,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_dataset3.csv
joint,4,dataset4,1263,6,0.7983636843494326,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k4/labels_dataset4.csv
joint,5,dataset1,2129,6,0.7732112102708627,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/standardized_embedding/clustering/joint_k5/labels_dataset1.csv
