mode,k,mean_spatial_neighbor_agreement
independent,2,0.8838676639188761
independent,3,0.8184263411876999
independent,4,0.7543715163145535
independent,5,0.7020431496031168
independent,6,0.6927011550875524
independent,7,0.6503069564644289
independent,8,0.6188997954408476
independent,9,0.6012465589071375
independent,10,0.572052611832301
independent,11,0.5434527503378105
independent,12,0.5172523630781372
independent,13,0.49539039749931857
independent,14,0.49163958652295536
independent,15,0.4761262589919873
independent,16,0.46179684242735886
joint,2,0.9092053837671142
joint,3,0.8504244479739145
joint,4,0.7974438896930219
joint,5,0.7804386699123399
joint,6,0.7569452348126963
joint,7,0.7435273779401428
joint,8,0.722076735834161
joint,9,0.6911556429894536
joint,10,0.6784066424985133
joint,11,0.6795132662151192
joint,12,0.6723729028476206
joint,13,0.6657034464062476
joint,14,0.64528864147848
joint,15,0.6300575612863112
joint,16,0.614167072276434
